Name,Image,Outdoor Image,Icon,Source,Droppable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Placeable in House,HHA Base Points,Color 1,Color 2,When HHA Lucky,Fashion,Equip Type,Clothing Type,Consumable,Plant,Notes,Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
gold roses,,,,Wilted Black Roses,No,-,-,2500,2000,-,Yes,351,yellow,yellow,-,ornate,Accessory,Glasses,No,Yes,,-,きんのバラ,rosa dorada,rosa dorada,rose dorée,rose dorée,Goldrose,rosa d'oro,금장미,1.0,28A0,294A,flw_rose_gl,,,,,gold roses,,-
red carnations,,,,Dad,No,-,-,500,400,-,Yes,0,red,red,Jun 1-30,cute,Hat,Accessory,No,Yes,,-,あかいカーネーション,clavel rojo,clavel rojo,œillet rouge,œillet rouge,Bartnelke,garofano rosso,빨간 카네이션,1.0,28A1,294B,flw_carna_rd,,,,,-,,-
pink carnations,,,,Mom,No,-,-,500,400,-,Yes,0,pink,pink,May 1-31,cute,Hat,Accessory,No,Yes,,-,ピンクカーネーション,clavel rosa,clavel rosa,œillet rose,œillet rose,Heidenelke,garofano rosa,핑크색 카네이션,1.0,28A2,294C,flw_carna_pi,,,,,-,,-
white carnations,,,,Breeding,No,-,-,2000,1600,-,Yes,351,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいカーネーション,clavel blanco,clavel blanco,œillet blanc,œillet blanc,Federnelke,garofano bianco,하얀 카네이션,1.0,28A3,294D,flw_carna_wt,,,,,-,,-
white lilies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいユリ,lirio blanco,lirio blanco,lys blanc,lys blanc,Osterlilie,giglio bianco,하얀 백합,1.0,28A4,294E,flw_yuri_wt,,,,,white lilies,,-
yellow lilies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,きいろいユリ,lirio amarillo,lirio amarillo,lys jaune,lys jaune,Pyrenäenlilie,giglio giallo,노란 백합,1.0,28A5,294F,flw_yuri_ye,,,,,yellow lilies,,-
red lilies,,,,Flower Bag,No,-,-,40,32,2,Yes,3,red,red,-,cute,Hat,Accessory,No,Yes,,-,あかいユリ,lirio rojo,lirio rojo,lys rouge,lys rouge,Rotlilie,giglio rosso,빨간 백합,1.0,28A6,2950,flw_yuri_re,,,,,red lilies,,-
orange lilies,,,,Breeding,No,-,-,80,64,-,Yes,351,orange,orange,-,cute,Hat,Accessory,No,Yes,,-,オレンジのユリ,lirio naranja,lirio naranja,lys orange,lys orange,Feuerlilie,giglio arancione,오렌지색 백합,1.0,28A7,2951,flw_yuri_or,,,,,orange lilies,,-
pink lilies,,,,Breeding,No,-,-,80,64,-,Yes,351,pink,pink,-,cute,Hat,Accessory,No,Yes,,-,ピンクのユリ,lirio rosa,lirio rosa,lys rose,lys rose,Türkenbundlilie,giglio rosa,핑크색 백합,1.0,28A8,2952,flw_yuri_pi,,,,,pink lilies,,-
black lilies,,,,Breeding,No,-,-,80,64,-,Yes,351,black,black,-,cute,Hat,Accessory,No,Yes,,-,くろいユリ,lirio negro,lirio negro,lys noir,lys noir,Dunkellilie,giglio nero,검정 백합,1.0,28A9,2953,flw_yuri_bk,,,,,black lilies,,-
purple violets,,,,Flower Bag,No,-,-,40,32,2,Yes,3,purple,purple,-,cute,Hat,Accessory,No,Yes,,-,むらさきのスミレ,violeta morada,violeta morada,violette mauve,violette mauve,Waldveilchen,violetta viola,보라색 제비꽃,1.0,28AA,2954,flw_violet_vi,,,,,-,,-
blue violets,,,,Breeding,No,-,-,80,64,-,Yes,351,blue,blue,-,cute,Hat,Accessory,No,Yes,,-,あおいスミレ,violeta azul,violeta azul,violette bleue,violette bleue,Blauveilchen,violetta blu,파란 제비꽃,1.0,28AB,2955,flw_violet_bl,,,,,-,,-
white violets,,,,Flower Bag,No,-,-,40,32,2,Yes,3,white,white,-,cute,Hat,Accessory,No,Yes,,-,しろいスミレ,violeta blanca,violeta blanca,violette blanche,violette blanche,Grabenveilchen,violetta bianca,하얀 제비꽃,1.0,28AC,2956,flw_violet_wt,,,,,-,,-
yellow violets,,,,Flower Bag,No,-,-,40,32,2,Yes,3,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,きいろいスミレ,violeta amarilla,violeta amarilla,violette jaune,violette jaune,Galmeiveilchen,violetta gialla,노란 제비꽃,1.0,28AD,2957,flw_violet_ye,,,,,-,,-
Jacob's ladder,,,,Perfect Town,No,-,-,90,72,-,Yes,351,white,white,-,cute,Hat,Accessory,No,Yes,,-,スズラン,flor de nieve,flor de nieve,muguet,muguet,Maiglöckchen,mughetto,은방울꽃,1.0,28AE,2958,flw_lily,,,,,lily of the valley,,-
lucky clovers,,,,Ground,No,-,-,80,64,-,Yes,351,green,green,-,cute,Hat,Accessory,No,Yes,,-,よつばのクローバー,trébol de 4 hojas,trébol de 4 hojas,trèfle à 4 feuilles,trèfle à 4 feuilles,Glückskleeblatt,quadrifoglio,네잎클로버,1.0,28AF,2959,flw_4leaf_clover,,,,,-,,-
dandelions,,,,Ground,No,-,-,40,32,-,Yes,351,yellow,yellow,-,cute,Hat,Accessory,No,Yes,,-,タンポポ,diente de león,diente de león,pissenlit,pissenlit,Löwenzahn,dente di leone,민들레,1.0,28B0,295A,flw_dandelion0,,,,,-,,-
dandelion puffs,,,,Ground,No,-,-,50,40,-,Yes,351,white,white,-,-,Hand,Dandelion Puffs,No,Yes,,-,タンポポのわたげ,vilano diente león,vilano diente león,tête de pissenlit,tête de pissenlit,Pusteblume,soffione,민들레꽃씨,1.0,28B1,295B,flw_dandelion1,,,,,-,,-
timer,,,,Nooklings,Yes,500,-,125,100,-,Yes,0,-,-,-,-,-,-,No,No,,-,タイマー,cronómetro,cronómetro,chrono,chrono,Stoppuhr,cronometro,타이머,1.0,3056,3367,-,No,,timer,timer,timer,,
fountain firework,,,,Nooklings,No,200,-,50,40,-,No,0,-,-,Aug 1-31,-,-,-,No,No,Becomes used firework when dropped,-,おきはなび,bengala de tubo,bengala de tubo,fontaine d'artifice,fontaine d'artifice,Fontäne,fuoco d'artificio,분수형 폭죽,1.0,308C,339F,-,,,,,fountain firework,,-
used firework,,,,Fountain firework,Yes,-,-,-200,-,-,No,0,-,-,-,-,-,-,No,No,,-,はなびのもえかす,bengala tubo usada,bengala tubo usada,feu d'artifice usagé,feu d'artifice usagé,Fontäne (abgebrannt),fuoco d'art. usato,다 탄 분수형 폭죽,1.0,308D,33A0,-,,,,,used fountain firework,,-
normal coffee beans,,,,The Roost,Yes,-,-,500,400,-,No,451,-,-,-,-,-,-,No,No,,-,ふつうのコーヒーまめ,café normal,café normal,sachet de café banal,sachet de café banal,Standard-Kaffee,pacco caffè normale,평범한 커피콩,1.0,3090,33A3,-,,,,,,,-
good coffee beans,,,,The Roost,Yes,-,-,1000,800,-,No,451,-,-,-,-,-,-,No,No,,-,よいコーヒーまめ,café extra,café extra,sachet de bon café,sachet de bon café,Qualitäts-Kaffee,pacco caffè squisito,좋은 커피콩,1.0,3091,33A4,-,,,,,,,-
superb coffee beans,,,,The Roost,Yes,-,-,2000,1600,-,No,451,-,-,-,-,-,-,No,No,,-,とてもよいコーヒーまめ,café premium,café premium,sachet de café extra,sachet de café extra,Premium-Kaffee,pacco caffè sublime,최상급 커피콩,1.0,3092,33A5,-,,,,,,,-
chocolate coin,,,,Gulliver,Yes,-,-,25,20,-,No,0,-,-,-,-,-,-,Yes,No,,-,コインチョコ,moneda de chocolate,moneda de chocolate,pièce en chocolat,pièce en chocolat,Schokoladentaler,moneta di cioccolato,코인 초콜릿,1.0,3093,33A6,-,,,,,,,-
signature sheet,,,,Signature quest,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,しょめいようし,hoja de firmas,hoja de firmas,pétition,pétition,Unterschriftenliste,modulo racc. firme,서명용지,1.0,30A2,33BC,-,,,,,,,-
petition form,,,,Signature quest,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,しょめいようし,hoja de firmas,hoja de firmas,pétition,pétition,Unterschriftenliste,modulo racc. firme,서명용지,1.0,30A3,33BD,-,,,,,,,-
paper scrap,,,,Signature quest,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,,かみくず,hoja usada,hoja usada,vieux document,vieux document,Altpapier,ritaglio di carta,종이 쓰레기,1.0,30A4,33BE,-,,,,,,,-
lost item,,,,Ground,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,おとしもの,objeto perdido,objeto perdido,objet perdu,objet perdu,Fundsache,oggetto smarrito,분실물,1.0,30A5,33BF,-,,,,,,,-
lost item,,,,Ground,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,おとしもの,objeto perdido,objeto perdido,objet perdu,objet perdu,Fundsache,oggetto smarrito,분실물,1.0,30A6,33C0,-,,,,,,,-
lost item,,,,Ground,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,おとしもの,objeto perdido,objeto perdido,objet perdu,objet perdu,Fundsache,oggetto smarrito,분실물,1.0,30A7,33C1,-,,,,,,,-
lost item,,,,Ground,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,,おとしもの,objeto perdido,objeto perdido,objet perdu,objet perdu,Fundsache,oggetto smarrito,분실물,1.0,30A8,33C2,-,,,,,,,-
book,,,,Lost item,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,,ほん,libro,libro,livre,livre,Buch,libro,책,1.0,30A9,33C3,-,,,,,,,-
pouch,,,,Lost item,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,,ポーチ,bolsa,bolsa,bourse,bourse,Stoffbeutel,borsa,파우치,1.0,30AA,33C4,-,,,,,,,-
mitten,,,,Lost item,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,,てぶくろのかたわれ,manopla,manopla,manopla,moufle,Einzelhandschuh,guanto,장갑 한 짝,1.0,30AB,33C5,-,,,,,,,-
paper bag,,,,Lost item,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,,かみぶくろ,bolsa de papel,bolsa de papel,sac en papier,sac en papier,Papiertüte,sacchetto di carta,종이봉투,1.0,30AC,33C6,-,,,,,,,-
towel,,,,Blanca,Yes,-,-,12,-,-,No,0,-,-,-,-,-,-,No,No,,,かおふきタオル,toalla para la cara,toalla para la cara,serviette,serviette,Waschlappen,asciugamano,얼굴 수건,1.0,30AD,33C7,-,,,,,,,-
Fortune cookie,,,,Nooklings,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,Yes,No,Bought for 2 play coins; Becomes random fortune when consumed,-,フォーチュンクッキー,galleta de fortuna,galleta de fortuna,gâteau de la chance,gâteau de la chance,Glückskeks,biscotto fortuna,운세 쿠키,1.0,30AE,33C8,-,,,,,,,-
Redd's cookie,,,,Redd,Yes,500,-,-,-,-,No,0,-,-,-,-,-,-,Yes,No,Becomes random ticket when consumed,-,いなりくじ,galleta de Ladino,galleta de Ladino,rounardise,rounardise,Lotteriekeks,biscotto lotteria,여욱 행운권,1.0,30E1,3402,-,,,,,,,-
dud ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・ハズレ,papel inútil,papel inútil,ticket perdant,ticket perdant,Lotterie-Niete,bigl. lotteria nullo,여욱 행운권 꽝,1.0,30E2,3403,-,,,,,,,-
flash ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・A,papel bum,papel bum,ticket boum,ticket boum,Lotterielos A,biglietto lotteria A,여욱 행운권 A,1.0,30E3,3404,-,,,,,,,-
bang ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・B,papel bang,papel bang,ticket bang,ticket bang,Lotterielos B,biglietto lotteria B,여욱 행운권 B,1.0,30E4,3405,-,,,,,,,-
sparkle ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・C,papel zas,papel zas,ticket driiiing,ticket driiiing,Lotterielos C,biglietto lotteria C,여욱 행운권 C,1.0,30E5,3406,-,,,,,,,-
whiz ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・D,papel pam,papel pam,ticket crakboum,ticket crakboum,Lotterielos D,biglietto lotteria D,여욱 행운권 D,1.0,30E6,3407,-,,,,,,,-
pow ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・E,papel pum,papel pum,ticket poiiiing,ticket poiiiing,Lotterielos E,biglietto lotteria E,여욱 행운권 E,1.0,30E7,3408,-,,,,,,,-
crackle ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・F,papel chischás,papel chischás,ticket badabim,ticket badabim,Lotterielos F,biglietto lotteria F,여욱 행운권 F,1.0,30E8,3409,-,,,,,,,-
kaboom ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・G,papel purrún,papel purrún,ticket vroum-vroum,ticket vroum-vroum,Lotterielos G,biglietto lotteria G,여욱 행운권 G,1.0,30E9,340A,-,,,,,,,-
pop ticket,,,,Redd's cookie,Yes,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,いなりくじ・H,papel zacatrás,papel zacatrás,ticket hip-hip-hip,ticket hip-hip-hip,Lotterielos H,biglietto lotteria H,여욱 행운권 H,1.0,30EA,340B,-,,,,,,,-
bingo card,,,,Snowman,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,,-,ビンゴカード,cartón de bingo,cartón de bingo,grille de bingogo,grille de bingogo,Glücksfünf-Karte,cartella cinquina,빙고 카드,1.0,30F9,341A,-,,,,,,,-
expired bingo card,,,,Bingo Card,Yes,-,-,-120,-,-,No,0,-,-,-,-,-,-,No,No,,-,きげんぎれのビンゴカード,cartón caducado,cartón caducado,grille périmée,grille périmée,Glücksfünf-Altkarte,cart. cinquina nulla,만료된 빙고 카드,1.0,30FA,341B,-,,,,,,,-
scavenger-hunt list,,,,Tortimer Island Tour,No,-,-,0,0,-,No,0,-,-,-,-,-,-,No,No,,-,かりものリスト,lista de objetos,lista de objetos,liste de meubles,liste de meubles,Suchliste,lista oggetti,찾을 물건 목록,1.0,30FC,341D,-,,,,,,,-
time capsule,,,,Villager Favor,No,-,-,-,-,-,No,0,-,-,-,-,-,-,No,No,Letter slot item,-,タイムカプセル,cápsula del tiempo,cápsula del tiempo,capsule temporelle,capsule temporelle,Zeitkapsel,capsula del tempo,타임캡슐,1.0,30FB,341C,-,,,,,,,-
