#,Name,Image,Icon,Equip Type,Type,Source,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Prevents Tan,Catalog Keyword,DLC Exclusive,Name (English EU),Name (Japanese),Name (Spanish),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Notes,Version Added,Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
159,red ogre mask,,,Helmet,Mask,Isabelle,No,-,-,160,-,8,499,-,Harmonious / Quirky,-,red,red,flashy,Unisex,-,Yes,,No,-,あかオニのおめん,careta ogro rojo,masque d'ogre rouge,masque d'ogre rouge,Ogermaske (rot),masch. Setsub. rossa,빨간 도깨비 가면,,1.0,2815,28B1,hlmt_mask_demonred,No,,red ogre mask,,,-
160,red Pikmin,,,Hat,Hood,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,red,green,cute,Unisex,-,No,,No,-,あかピクミン,Pikmin hoja,Pikmin feuille,Pikmin feuille,Blatt-Pikmin,berr. Pikmin rosso,빨강피크민,,1.0,2821,28BD,hlmt_pikmin_red,No,,red Pikmin,,,-
161,red pom-pom hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,red,white,cute,Unisex,-,No,,No,-,あかボンボンニットぼう,gorro pompón,pompon rouge,pompon rouge,Puschelmütze,berretto rosso,빨간 털모자,,1.0,2786,2818,cap_knit_red,No,,red pom-pom hat,,,-
162,red ribbon,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,Fairy Tale,-,red,red,cute,Female,Manufactured,No,,No,-,あかいリボン,lazo rojo,ruban rouge,ruban rouge,Rubinband,fiocco rosso,빨간 리본,,1.0,27B6,2848,cap_ribbon_red,No,,red ribbon,,,-
163,red-horned hat,,,Hat,Hood,DLC,Yes,"2,400",-,600,480,30,300,-,Quirky,-,red,red,sporty,Unisex,-,No,,Yes,-,あかいつののぼうし,casco cuernos rojos,chapeau cornu,chapeau cornu,Hörnerhelm,cappello corna rosse,필승 코리아 뿔모자,,1.0,282B,28C7,hlmt_hood_horn,Yes,,-,,,-
164,red-pumpkin head,,,Helmet,Covered Helmet,Villagers,No,-,-,"1,000",800,50,51,-,Rustic / Quirky,-,red,red,flashy,Unisex,-,Yes,,No,-,レッドかぼちゃマスク,calabaza roja,citrouille rouge,citrouille rouge,Kürbiskopf (rot),testa zucca rossa,레드 호박 마스크,,1.0,2849,28E5,hlmt_jackolantern_4,Yes,,-,,,red-pumpkin head
165,red-team cap,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,red,red,sporty,Unisex,-,Yes,,No,-,あかぐみのぼうし,gorra rojos,casquette des rouges,casquette des rouges,Rotteamkappe,berretto team rosso,홍팀 모자,,1.0,27C0,2852,cap_cap_group_red,Yes,,-,,,-
166,red-zap helmet,,,Helmet,Helmet,Able Sisters,Yes,600,-,150,120,7,3,red superhero,Sci-Fi / Toy Shop,-,white,red,sporty,Male,-,Yes,,No,-,ヒーローヘルメットR,supercasco rojo,casque héros rouge,casque héros rouge,Rotheldenhelm,casco eroe rosso,히어로 헬멧 R,,1.0,2811,28AD,hlmt_helmet_hero,Yes,,-,,,-
167,regent wig,,,Hat,Wig,Able Sisters,Yes,480,-,120,96,6,3,-,-,-,black,black,rock 'n' roll,Male,-,No,,No,-,リーゼント,tupé rockabilly,perruque banane,perruque banane,Schlapp-Perücke,parrucca da principe,리젠트,,1.0,27F9,2895,hlmt_wig_regent,No,,regent wig,,,-
168,retro helmet,,,Helmet,Helmet,GracieGrace,No,"5,000",-,"1,250",-,62,251,-,Toy Shop,-,green,green,sporty,Unisex,-,Yes,,No,-,レトロなヘルメット,casco retro,casque rétro,casque rétro,Retro-Helm,casco rétro,복고풍 헬멧,,1.0,2810,28AC,hlmt_helmet_retro,No,,retro helmet,,,-
169,ribboned straw hat,,,Hat,Accessory,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,yellow,brown,cute,Female,-,No,,No,-,ちいさめなぼうし,sombrero con lazo,chapeau paille ruban,chapeau paille ruban,Schleifchen-Strohhut,capp. paglia nastro,작은 모자,,1.0,27D2,2864,cap_small,Yes,,-,,,-
170,Roman helmet,,,Helmet,Open Helmet,Able Sisters,Yes,"1,200",-,300,240,15,3,centurion,Antique / Quirky,-,yellow,yellow,historical,Unisex,-,Yes,,No,-,ローマへいのかぶと,casco romano,casque romain,casque romain,Legionärshelm,elmo romano,로마병 투구,,1.0,280B,28A7,hlmt_helmet_roman,No,,Roman helmet,,,-
171,royal crown,,,Hat,Hat,Able Sisters,Yes,"1,200,000",-,"300,000","240,000","15,000",3,king,Antique / Fairy Tale,-,red,yellow,ornate,Unisex,Plaid,No,,No,-,おうかん,corona imperial,couronne royale,couronne royale,Königskrone,corona reale,왕관,,1.0,27C9,285B,cap_crown_royal,No,,royal crown,,,royal crown
172,safety helmet,,,Hat,Hat,Able Sisters,Yes,300,-,75,60,3,3,worker,-,-,yellow,yellow,sporty,Unisex,-,Yes,,No,-,あんぜんヘルメット,casco de obra,casque de chantier,casque de chantier,Baustellenhelm,casco da lavoro,안전모,,1.0,27A1,2833,cap_helmet_safety,No,,safety helmet,,,-
173,sailor's hat,,,Hat,Hat,Souvenir Shop,No,-,15,187,149,9,99,sailor,Sci-Fi / Toy Shop,-,white,blue,official,Unisex,Manufactured,No,,No,-,ふなのりのぼうし,gorro marinero,bonnet marin,bonnet marin,Matrosenmütze,cappello marinaio,선원 모자,,1.0,27A5,2837,cap_hat_sailors,No,,sailor's hat,,,-
174,samurai helmet,,,Hat,Hood,Able Sisters,Yes,"2,000",-,500,400,25,3,samurai,Harmonious / Antique / Quirky,-,black,yellow,historical,Male,-,No,,No,-,かぶと,casco samurái,casque de samouraï,casque de samouraï,Samuraihelm,elmo samurai,일본 무사 투구,,1.0,2805,28A1,hlmt_helmet_kabuto,Yes,,-,,,-
175,samurai wig,,,Hat,Wig,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Harmonious,-,brown,yellow,historical,Male,-,No,,No,-,ちょんまげ,peluca de samurái,coiffe de samouraï,coiffe de samouraï,Samuraiperücke,parrucca da samurai,일본식 상투,,1.0,27F4,2890,hlmt_wig_samurai,No,,samurai wig,,,-
176,Samus mask,,,Helmet,Covered Helmet,Fortune,No,-,-,210,-,10,151,bounty hunter,Sci-Fi / Toy Shop,-,orange,orange,rock 'n' roll,Female,-,Yes,,No,-,バリアスーツ・ヘッド,casco de Samus,casque Varia,casque Varia,Samusmaske,maschera da Samus,배리어 슈트 헬멧,,1.0,2818,28B4,hlmt_helmet_samus,No,,Samus mask,,,-
177,Santa hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,33,-,Toy Shop,Dec 1-31,red,white,cute,Unisex,-,No,,No,-,サンタのぼうし,gorro festivo,bonnet de père Noël,bonnet de père Noël,Weihnachtsmannhut,capp. Babbo Natale,산타 모자,,1.0,2799,282B,cap_hat_Xmas,Yes,,-,,,Santa hat
178,scholar's hat,,,Hat,Hat,Able Sisters,Yes,420,-,105,84,5,3,scholar,-,-,brown,brown,official,Unisex,-,No,,No,-,がくしのぼうし,birrete de graduado,chapeau diplôme,chapeau diplôme,Abschlusshut,cappello laurea,학사모,,1.0,27A0,2832,cap_hat_scholars,No,,scholar's hat,,,-
179,school cap,,,Hat,Hat,DLC,Yes,360,-,90,72,4,300,-,-,-,blue,blue,sporty,Unisex,-,Yes,,Yes,-,あおしろのぼうし,gorra colegio azul,casqu. écol. bleue,casqu. écol. bleue,Schulmütze (blau),cappellino azzurro,청팀 운동회 모자,,1.0,27C6,2858,cap_cap_group_blue,No,,school cap,,,-
180,school hat,,,Hat,Hat,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,yellow,yellow,official,Unisex,-,Yes,,No,-,つうがくぼう,gorra de colegio,chapeau d'écolier,chapeau d'écolier,Schülerhut,cappello da scolaro,유치원생 모자,,1.0,27E4,2876,cap_scool_girl,Yes,,-,,,school hat
181,shamrock hat,,,Hat,Hat,Isabelle,No,-,-,400,-,20,499,-,Rustic,-,green,green,iconic,Unisex,Manufactured,Yes,,No,-,シャムロックハット,sombrero trébol,chapeau trèfle,chapeau trèfle,Kleehut,cappello trifoglio,성패트릭 모자,,1.0,27BD,284F,cap_hat_shamrock,No,,shamrock hat,,,shamrock hat
182,Sheik mask,,,Helmet,Hood,Epona's RV,No,-,-,600,-,30,300,-,Toy Shop,-,white,yellow,iconic,Unisex,-,No,,No,-,シークのあたま,máscara de Sheik,masque de Sheik,masque de Sheik,Shiek-Perücke,maschera da Sheik,시크 마스크,,1.4,-,28E9,hlmt_wig_sheik,Yes,,-,,,-
183,shower cap,,,Hat,Hat,Able Sisters,Yes,240,-,60,48,3,3,spa patron,-,-,pink,pink,flashy,Unisex,-,No,,No,-,シャワーキャップ,gorro de ducha,bonnet de bain,bonnet de bain,Duschhaube,cuffia da doccia,샤워캡,,1.0,27DE,2870,cap_showercap,Yes,,-,,,-
184,silk hat,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,imperial,Harmonious,-,red,green,iconic,Unisex,Nature,No,,No,-,チャイナハット,gorro de seda,chapeau en soie,chapeau en soie,Seidenmütze,cappello di seta,중국풍 모자,,1.0,27A6,2838,cap_hat_silk,No,,silk hat,,,silk hat
185,skeleton hood,,,Hat,Hood,Able Sisters,Yes,"1,031",-,257,205,12,33,-,Quirky,-,white,white,flashy,Unisex,-,No,,No,-,ガイコツのかぶりもの,capucha calavera,masque de squelette,masque de squelette,Skelettkapuze,copricapo scheletro,해골 모자,,1.0,2838,28D4,hlmt_hlwn_skelton,Yes,,-,,,-
186,ski mask,,,Helmet,Helmet,Able Sisters,Yes,600,-,150,120,7,3,-,Quirky,-,black,black,flashy,Unisex,-,Yes,,No,-,めだしぼう,pasamontañas,cagoule,cagoule,Skimaske,passamontagna,복면 마스크,,1.0,280E,28AA,hlmt_mask_ski,No,,ski mask,,,-
187,small silk hat,,,Hat,Accessory,GracieGrace,No,"2,400",-,600,-,30,251,-,Fairy Tale,-,red,black,cute,Female,-,No,,No,-,ちいさめシルクハット,minichistera,chapeau de cavalière,chapeau de cavalière,Mini-Seidenhut,capp. di seta rossa,작은 실크해트,,1.0,27EB,287D,cap_silkhat_small,Yes,,-,,,small silk hat
188,snowman head,,,Hat,Hood,Snowboy,No,-,-,666,-,33,88,-,Fairy Tale / Toy Shop,-,white,white,cute,Unisex,-,No,,No,-,ゆきだるまのぼうし,casco de Copito,cagoule neige,cagoule neige,Schneemannhut,testa pupazzo neve,눈사람 모자,,1.0,2827,28C3,hlmt_snowball,No,,snowman head,,,-
189,sombrero,,,Hat,Hat,Able Sisters,Yes,240,-,60,48,3,3,vaquero,-,-,brown,brown,iconic,Unisex,-,Yes,,No,-,ソンブレロ,sombrero cuate,sombrero,sombrero,Sombrero,sombrero,솜브레로,,1.0,27A9,283B,cap_sombrero,No,,sombrero,,,sombrero
190,space helmet,,,Helmet,Helmet,Able Sisters,Yes,"2,400",-,600,480,30,3,astronaut,Sci-Fi / Toy Shop,-,aqua,aqua,sporty,Unisex,-,Yes,,No,-,アストロヘルメット,casco espacial,casque spatial,casque spatial,Astronautenhelm,casco spaziale,아스트로 헬멧,,1.0,280D,28A9,hlmt_helmet_space,No,,space helmet,,,-
191,stagehand hat,,,Helmet,Open Helmet,Able Sisters,Yes,600,-,150,120,7,3,-,Harmonious,-,black,black,iconic,Unisex,-,Yes,,No,-,くろこ,gorro negro con velo,chapeau machiniste,chapeau machiniste,Kabuki-Hut,cappuccio garza nera,검은 복면,,1.0,2836,28D2,hlmt_kuroko,Yes,,-,,,-
192,star bopper,,,Hat,Accessory,Isabelle,No,-,-,40,32,2,3,-,-,-,yellow,yellow,cute,Unisex,Manufactured,No,,No,-,ひかるスターアクセサリー,diadema estrellas,serre-tête étoiles,serre-tête étoiles,Leuchtsternfühler,paio antenne stelle,빛나는 별 액세서리,,1.0,27E8,287A,cap_glow_star,Yes,,-,,,star bopper
193,star cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,Fairy Tale,-,pink,pink,sporty,Unisex,Nature,Yes,,No,-,ピンクのキャップ,gorra estrella,casquette étoile,casquette étoile,Sternkappe,cappello stella,핑크 야구 모자,,1.0,277D,280F,cap_cap_star,No,,star cap,,,star cap
194,star hairpin,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,yellow,yellow,cute,Female,Manufactured,No,,No,-,ほしのかみかざり,clip estrella,épingle étoile,épingle étoile,Sternhaarnadel,molletta stella,별 머리핀,,1.0,27BA,284C,cap_hairpin_star,No,,star hairpin,,,star hairpin
195,straw boater,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,Trendy,-,brown,brown,basic,Unisex,-,Yes,,No,-,カンカンぼう,canotier,canotier,canotier,Kreissäge,paglietta,캉캉 모자,,1.0,27DC,286E,cap_boater,Yes,,-,,,straw boater
196,straw hat,,,Hat,Hat,Souvenir Shop,No,-,15,187,149,9,99,-,-,-,brown,brown,iconic,Unisex,-,Yes,,No,-,むぎわらぼうし,sombrero de paja,chapeau de paille,chapeau de paille,Strohhut,cappello di paglia,밀짚모자,,1.0,2788,281A,cap_hat_straw,No,,straw hat,,,-
197,straw umbrella hat,,,Hat,Hat,Able Sisters,Yes,240,-,60,48,3,3,-,Harmonious,-,brown,brown,historical,Unisex,-,Yes,,No,-,さんどがさ,gorro paja achatado,chapeau de bambou,chapeau de bambou,Flach-Reishut,capp. paglia oriente,일본풍 삿갓,,1.0,27D7,2869,cap_sandogasa,Yes,,-,,,-
198,strawberry hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,strawberry,Rustic,-,red,pink,cute,Unisex,Fruit,No,,No,-,いちごのぼうし,gorro fresa,chapeau fraise,chapeau fraise,Erdbeerhut,cappello fragola,딸기 모자,,1.0,27B1,2843,cap_fruit_strawberry,No,,strawberry hat,,,-
199,stripe knit cap,,,Hat,Hood,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,black,pink,basic,Unisex,V-Striped,No,,No,-,ボーダーニットぼう,gorro lana rayas,bonnet péruvien,bonnet péruvien,Streifenpudelmütze,berretto nero,줄무늬 털모자,,1.0,27EC,2888,hlmt_knit_blk,Yes,,-,,,-
200,student cap,,,Hat,Hat,Able Sisters,Yes,"1,600",-,400,320,20,3,-,-,-,black,black,official,Male,Manufactured,Yes,,No,-,がくせいぼう,gorra escolar,chapeau d'élève,chapeau d'élève,Schülermütze,cappello da studente,학생모,,1.0,27BE,2850,cap_cap_school,No,,student cap,,,-
201,studio headphones,,,Helmet,Wig,Inkwell's RV,No,-,-,600,-,30,300,-,Toy Shop,-,orange,black,sporty,Female,-,No,,No,-,ガールのかぶりもの,peluca inkling chica,perr. écouteurs (),perr. écouteurs (),Studio-Kopfhörer,accessorio ragazza,걸 헤드폰,,1.4,-,28EF,hlmt_wig_splgirl,Yes,,-,,,-
202,swimming cap,,,Hat,Hat,Able Sisters,Yes,200,-,50,40,2,3,-,-,-,yellow,yellow,sporty,Unisex,-,No,,No,-,すいえいキャップ,gorro piscina,bonnet de natation,bonnet de natation,Schwimmkappe,cuffia nuoto,수영 모자,,1.0,2796,2828,cap_cap_swimming,No,,swimming cap,,,-
203,Takoroka mesh,,,Hat,Hat,Inkwell's RV,No,-,-,250,-,12,300,-,Toy Shop,-,red,white,sporty,Unisex,Manufactured,Yes,,No,-,ヤコメッシュ,gorra malla Sepioca,casquet. filet Cubic,casquet. filet Cubic,Kalamati-Mütze,berretto Sepia,스플래툰 모자,,1.4,-,287E,cap_cap_yakomesh,Yes,,-,,,-
204,tam-o'-shanter,,,Hat,Hood,DLC,Yes,"4,000",-,"1,000",800,50,300,-,-,-,black,red,iconic,Unisex,-,No,,Yes,-,スコットランドぼうし,boina escocesa,béret écossais,béret écossais,Schottenmütze,cappello scozzese,스코틀랜드 모자,,1.0,282A,28C6,hlmt_hat_jimmy,Yes,,-,,,-
205,terry-cloth do-rag,,,Hat,Hat,Able Sisters,Yes,240,-,60,48,3,3,-,-,-,white,white,rock 'n' roll,Unisex,-,No,,No,-,タオル,pañuelo felpa,bandana blanc,bandana blanc,Handtuch,cappello asciugamano,수건,,1.0,27DD,286F,cap_towel,Yes,,-,,,-
206,tiara hair,,,Hat,Hood,GracieGrace,No,"7,200",-,"1,800",-,90,251,-,Antique / Fairy Tale,-,black,white,ornate,Female,-,No,,No,-,おひめさま,diadema princesa,diadème,diadème,Diadem,diadema,공주님 머리,,1.0,27FD,2899,hlmt_wig_princess,No,,tiara hair,,,-
207,Tingle hood,,,Hat,Hood,Katrina,Yes,"1,200",-,300,240,15,893,-,Toy Shop,-,green,green,flashy,Unisex,-,No,,No,-,チンクル,capucha de Tingle,capuche Tingle,capuche Tingle,Tingle-Mütze,berretto da Tingle,팅글,,1.0,2834,28D0,hlmt_hood_tinkle,Yes,,-,,,-
208,Toad hat,,,Helmet,Open Helmet,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,white,red,cute,Unisex,Dotted,No,,No,-,キノピオのぼうし,gorro de Toad,chapeau Toad,chapeau Toad,Toad-Mütze,cappello da Toad,키노피오 모자,,1.0,281A,28B6,hlmt_hat_kinopio,No,,Toad hat,,,Toad hat
209,top hat,,,Hat,Hat,Able Sisters,Yes,480,-,120,96,6,3,-,Antique / Fairy Tale,-,black,black,official,Male,-,Yes,,No,-,シルクハット,sombrero de copa,haut-de-forme,haut-de-forme,Zylinder,cilindro,실크해트,,1.0,278F,2821,cap_hat_top,No,,top hat,,,-
210,topknot wig,,,Hat,Hood,Able Sisters,Yes,"1,200",-,300,240,15,3,-,Harmonious,-,brown,brown,sporty,Male,-,No,,No,-,おおいちょう,peluca con moño,perruque à chignon,perruque à chignon,Hochsteckperücke,parrucca con codino,일본 스모선수 머리,,1.0,2830,28CC,hlmt_wig_ooichou,Yes,,-,,,-
211,tsunokakushi,,,Hat,Hood,Able Sisters,Yes,"2,400",-,600,480,30,3,-,Harmonious / Fairy Tale,-,white,white,official,Female,-,No,,No,-,つのかくし,tocado nupcial,coiffe de mariée,coiffe de mariée,Hochzeitshaube,capp. sposa asiatico,일본 전통 신부모자,,1.0,2828,28C4,hlmt_wig_thunokakushi,No,,tsunokakushi,,,-
212,tulip hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,-,-,-,yellow,yellow,cute,Unisex,-,Yes,,No,-,チューリップハット,gorro tulipán,chapeau tulipe,chapeau tulipe,Tulpenhut,cappello tulipano,튤립 모자,,1.0,2794,2826,cap_hat_tulip,No,,tulip hat,,,-
213,turban,,,Hat,Hood,Able Sisters,Yes,600,-,150,120,7,3,genie,-,-,white,white,iconic,Male,Manufactured,No,,No,-,ターバン,turbante,turban,turban,Turban,turbante,터번,,1.0,27F0,288C,hlmt_turban,No,,turban,,,-
214,viking helmet,,,Hat,Hat,Able Sisters,Yes,540,-,135,108,6,3,viking,Antique / Toy Shop / Quirky,-,gray,gray,historical,Unisex,-,No,,No,-,バイキングのかぶと,casco vikingo,casque viking,casque viking,Wikingerhelm,elmo vichingo,바이킹 투구,,1.0,27AB,283D,cap_helmet_viking,No,,Viking helmet,,,-
215,warbonnet,,,Hat,Wig,Able Sisters,Yes,"1,000",-,250,200,12,3,chief,Antique,-,colorful,colorful,iconic,Male,-,No,,No,-,ウォーボネット,corona de plumas,coiffe amérindienne,coiffe d'indien,Federschmuck,cappello indiano,인디언 모자,,1.0,27F1,288D,hlmt_warbonnet,No,,warbonnet,,,-
216,Wario hat,,,Hat,Hat,Able Sisters,Yes,800,-,200,160,10,3,-,Toy Shop,-,yellow,yellow,flashy,Male,-,Yes,,No,-,ワリオのぼうし,gorra de Wario,casquette Wario,casquette Wario,Wario-Mütze,cappello Wario,와리오 모자,,1.0,279C,282E,cap_hat_wario,No,,Wario hat,,,-
217,watermelon hat,,,Hat,Hat,Able Sisters,Yes,640,-,160,128,8,3,watermelon,Rustic,-,green,green,cute,Unisex,Fruit,No,,No,-,すいかのぼうし,gorro sandía,chapeau pastèque,chapeau pastèque,Melonenhut,cappello anguria,수박 모자,,1.0,27B4,2846,cap_fruit_watermelon,No,,watermelon hat,,,-
218,werewolf hood,,,Helmet,Helmet,Able Sisters,Yes,"1,031",-,257,205,12,33,-,Quirky,-,yellow,brown,flashy,Unisex,Animal,No,,No,-,オオカミおとこのマスク,capucha hombre lobo,masque de loup-garou,masque de loup-garou,Werwolfmütze,copricapo licantropo,늑대 인간 마스크,,1.0,283B,28D7,hlmt_hlwn_fierceanml,Yes,,-,,,-
219,white cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,white,white,sporty,Unisex,Manufactured,Yes,,No,-,しろいキャップ,gorra N,casquette blanche,casquette blanche,N-Kappe,cappello bianco,하얀 야구 모자,,1.0,27D1,2863,cap_cap_wht,No,,white cap,,,-
220,white police cap,,,Hat,Hat,DLC,Yes,480,-,120,96,6,300,-,-,-,white,black,official,Male,-,Yes,,Yes,-,しろいけいかんぼう,gorra policía blanca,casquette police B,casquette police B,Polizeimütze (weiß),capp. polizia bianco,하얀 경찰모,,1.0,27C8,285A,cap_cap_police_korean,No,,white police cap,,,-
221,white school cap,,,Hat,Hat,DLC,Yes,360,-,90,72,4,300,-,-,-,white,white,sporty,Unisex,-,Yes,,Yes,-,しろあおのぼうし,gorra colegio blanca,casqu. écol. blanche,casqu. écol. blanche,Schulmütze (weiß),cappellino bianco,백팀 운동회 모자,,1.0,27C7,2859,cap_cap_group_whiteBlue,No,,white school cap,,,-
222,white-team cap,,,Hat,Hat,Able Sisters,Yes,360,-,90,72,4,3,-,-,-,white,white,sporty,Unisex,-,Yes,,No,-,しろぐみのぼうし,gorra blancos,casquette des blancs,casquette des blancs,Weißteamkappe,berretto team bianco,백팀 모자,,1.0,27C1,2853,cap_cap_group_white,Yes,,-,,,-
223,witch's hat,,,Hat,Hat,GracieGrace,No,"4,800",-,"1,200",-,60,251,witch,Quirky,-,black,black,historical,Female,Manufactured,Yes,,No,-,まじょのぼうし,sombrero bruja,chapeau de sorcier,chapeau de sorcier,Hexenhut,cappello da strega,마녀 모자,,1.0,27AF,2841,cap_hat_witchs,No,,witch's hat,,,witch's hat
224,wizard's cap,,,Hat,Hat,Able Sisters,Yes,200,-,50,40,2,3,-,Toy Shop,-,green,green,cute,Unisex,Dotted,No,,No,-,とんがりぼうし,gorro mago,chapeau de magicien,chapeau de magicien,Zauberhut,cappello da mago,마법사 모자,,1.0,2797,2829,cap_cap_wizards,No,,wizard's cap,,,-
225,wrestling mask,,,Helmet,Helmet,Able Sisters,Yes,900,-,225,180,11,3,pro wrestler,-,-,red,red,sporty,Unisex,Nature,Yes,,No,-,プロレスのマスク,máscara de luchador,masque de catch,masque de catch,Wrestlingmaske,maschera wrestling,프로 레슬링 마스크,,1.0,280F,28AB,hlmt_mask_wrestling,No,,wrestling mask,,,wrestling mask
226,y. New Year's hat,,,Hat,Hat,Redd,No,300,-,75,60,3,33,-,-,Year sold by Redd,yellow,yellow,cute,Unisex,Nature,Yes,,No,-,ニューイヤーハットきいろ,gorro Año Nuevo ocre,chapeau nouvel an J,chapeau nouvel an J,Neujahrshut (gelb),capp. Capod. giallo,노란 새해 모자,,1.0,27CE,2860,cap_newyear_ylw,Yes,,-,,,-
227,yellow cap,,,Hat,Hat,Able Sisters,Yes,320,-,80,64,4,3,-,-,-,yellow,yellow,sporty,Unisex,Manufactured,Yes,,No,-,きいろいキャップ,gorra amarilla,casquette jaune,casquette jaune,Streifenkappe,cappello giallo,노란 야구 모자,,1.0,277A,280C,cap_cap_ylw,No,,yellow cap,,,yellow cap
228,yellow Pikmin,,,Hat,Hood,Fortune,No,-,-,210,-,10,151,-,Toy Shop,-,yellow,white,cute,Unisex,-,No,,No,-,きピクミン,Pikmin flor,Pikmin fleuri,Pikmin fleuri,Blüten-Pikmin,berr. Pikmin giallo,노랑피크민,,1.0,2823,28BF,hlmt_pikmin_yellow,Yes,,-,,,-
229,yellow ribbon,,,Hat,Accessory,Able Sisters,Yes,240,-,60,48,3,3,-,Fairy Tale,-,yellow,yellow,cute,Female,Manufactured,No,,No,-,きいろいリボン,lazo amarillo,ruban jaune,ruban jaune,Bernsteinband,fiocco giallo,노란 리본,,1.0,27B8,284A,cap_ribbon_ylw,No,,yellow ribbon,,,yellow ribbon
230,yellow-pumpkin head,,,Helmet,Covered Helmet,Villagers,No,-,-,"1,000",800,50,51,-,Rustic / Quirky,-,yellow,yellow,flashy,Unisex,-,Yes,,No,-,イエローかぼちゃマスク,calabaza amarilla,citrouille jaune,citrouille jaune,Kürbiskopf (gelb),testa zucca gialla,옐로 호박 마스크,,1.0,2847,28E3,hlmt_jackolantern_2,Yes,,-,,,yellow-pumpkin head
231,Zelda wig,,,Helmet,Hood,W. Link's RV,No,-,-,600,-,30,300,-,Fairy Tale / Toy Shop,-,brown,yellow,iconic,Unisex,-,No,,No,-,ゼルダひめのあたま,peluca de Zelda,perruque Zelda,perruque Zelda,Zelda-Perücke,parrucca da Zelda,젤다 공주 가발,,1.4,-,28EA,hlmt_wig_zelda,Yes,,-,,,-
-,patched hat,,,Hat,Hat,Villagers,No,-,-,-400,-,-,51,-,Quirky,-,gray,gray,historical,Unisex,-,No,,No,-,ボロのぼうし,gorro remiendos,chapeau rapiécé,chapeau rapiécé,Flickenmütze,berretto rattoppato,낡은 모자,,1.0,27CB,285D,cap_patched,Yes,,-,,,-
