#,Name,Name (Default Variant),Image,Icon,Source,Rarity Group,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),Type,Size,Wall-Mounted,Surface,Placeable on Surfaces,Can Trash,Can Be Walked On,Interactivity,Animated,Sound,HHA Base Points,HHA Series,HHA Series Type,HHA Theme Challenge,Color 1,Color 2,When HHA Lucky,Fashion,Catalog Keyword,Consumable,Customizable,Customization Cost,Total Variant Count,Body Variant Count,Customizable Body Name,Pattern Variant Count,Customizable Pattern Name,Ore Variant Count,Customization Ores,Notes,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),# (EN-EU),# (JP),# (ES-NA),# (ES-EU),# (FR-NA),# (FR-EU),# (GER),# (ITA),# (KOR),Version Added,Buy Price (Internal),Hex ID (1.0),Hex ID (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
0765,kiddie bed,kiddie bed (Colorful - Colorful),,,Nooklings,C,Yes,"2,100",-,525,420,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,210,9,3,the frame,3,the bedding,-,-,,-,-,カラフルなベッド,cama puzle,cama puzle,lit enfant,lit enfant,Kinderbett,letto bimbi,컬러풀 침대,0766,0374,0342,0340,0970,0968,0723,0664,1340,1.0,2100,2998,2A42,rmk_col_bedS,No,,,,,,kiddie bed
0766,kiddie bookcase,kiddie bookcase (Colorful),,,Nooklings,C,Yes,"1,800",-,450,360,-,-,1x1,No,No,No,,,,,,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,180,3,3,the body color,1,-,-,-,,-,-,カラフルなほんだな,librería puzle,librería puzle,étagère enfant,étagère enfant,Kinderregal,libreria bimbi,컬러풀 책장,0767,0375,0860,0858,0627,0624,0727,0713,1339,1.0,1800,299F,2A49,rmk_col_bookshelf,No,,,,,,kiddie bookcase
0767,kiddie bureau,kiddie bureau (Colorful),,,Nooklings,C,Yes,"2,200",-,550,440,-,Closet,1x1,No,No,No,,,Storage,Press,Press,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,220,3,3,the body color,1,-,-,-,,-,-,カラフルなビューロ,armario puzle,armario puzle,armoire enfant,armoire enfant,Kindergarderobe,comò bimbi,컬러풀 뷰로,0768,0373,0085,0085,0041,0041,0725,0317,1332,1.0,2200,299E,2A48,rmk_col_chestC,No,,,,,,kiddie bureau
0768,kiddie chair,kiddie chair (Colorful - No cushion),,,Nooklings,C,Yes,"1,400",-,350,280,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,140,12,3,the body color,4,the cushion,-,-,,-,-,カラフルなイス,silla puzle,silla puzle,chaise enfant,chaise enfant,Kinderstuhl,sedia bimbi,컬러풀 의자,0769,0365,1465,1465,0364,0363,0730,1185,1338,1.0,1400,299C,2A46,rmk_col_chairS,No,,,,,,kiddie chair
0769,kiddie clock,kiddie clock (Colorful),,,Nooklings,C,Yes,"1,480",-,370,296,-,Clock,1x1,No,No,No,,,,,,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,148,3,3,the body color,1,-,-,-,,-,-,カラフルなとけい,reloj puzle,reloj puzle,horloge enfant,horloge enfant,Kinderuhr,orologio bimbi,컬러풀 시계,0770,0372,1336,1336,0798,0796,0733,0862,1335,1.0,1480,29A0,2A4A,rmk_col_clockN,No,,,,,,kiddie clock
0770,kiddie couch,kiddie couch (Colorful),,,Nooklings,C,Yes,"2,200",-,550,440,-,Seat,2x1,No,No,No,,,Sit,-,Sit,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,220,3,3,the body color,1,-,-,-,,-,-,カラフルなソファ,sofá puzle,sofá puzle,canapé enfant,canapé enfant,Kindersofa,sofà bimbi,컬러풀 소파,0771,0369,1519,1519,0289,0287,0729,1333,1334,1.0,2200,299B,2A45,rmk_col_chairL,No,,,,,,kiddie couch
0771,kiddie dresser,kiddie dresser (Colorful),,,Nooklings,C,Yes,"2,150",-,537,429,-,Dresser,2x1,No,Yes,No,,,Storage,Press,Press,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,215,3,3,the body color,1,-,-,-,,-,-,カラフルなタンス,cómoda puzle,cómoda puzle,commode enfant,commode enfant,Kinderkommode,comodino bimbi,컬러풀 서랍장,0772,0370,0491,0489,0486,0485,0726,0356,1333,1.0,2150,2999,2A43,rmk_col_chestA,No,,,,,,kiddie dresser
0772,kiddie meal,kiddie meal (Lunch combo A),,,Campground Shop,-,No,-,-,400,320,-,-,1x1,No,No,Yes,,,,,,151,-,-,-,colorful,red,-,cute,,No,Yes,160,3,3,the menu,1,-,-,-,,-,-,おこさまランチ,combo infantil,menú infantil,menu enfant,menu enfant,Kinderteller,menu per bambini,어린이 런치 세트,0773,0236,0458,0937,1063,1062,0731,0774,0979,1.4,1600,-,2F80,rmk_oth_childlunch,No,,,,,kiddie meal,kiddie meal
0773,kiddie stereo,kiddie stereo (Colorful),,,Nooklings,C,Yes,"1,900",-,475,380,-,Music Player,2x1,No,Yes,No,,,Music player,,Music,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,190,3,3,the body color,1,-,-,-,,-,-,カラフルなコンポ,cadena puzle,cadena puzle,hi-fi enfant,hi-fi enfant,Kinderanlage,stereo bimbi,컬러풀 오디오,0774,0368,0265,0263,0765,0763,0722,1410,1336,1.0,1900,29A1,2A4B,rmk_col_audioM,No,,,,,,-
0774,kiddie table,kiddie table (Colorful - Colorful),,,Nooklings,C,Yes,"2,200",-,550,440,-,Table,2x2,No,Yes,No,,,,,,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,220,9,3,the body color,3,the tablecloth,-,-,,-,-,カラフルなテーブル,mesa puzle,mesa puzle,table enfant,table enfant,Kindertisch,tavolo bimbi,컬러풀 테이블,0775,0371,1018,1018,1527,1527,0732,1486,1341,1.0,2200,299D,2A47,rmk_col_tableL,No,,,,,,kiddie table
0775,kiddie wall clock,kiddie wall clock (Colorful),,,Nooklings,-,Yes,"1,800",-,450,360,-,Clock,1x1,Yes,No,No,,,,,,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,180,3,3,the body color,1,-,-,-,,-,-,カラフルなかべかけどけい,reloj de pared puzle,reloj de pared puzle,horloge mur enfant,horloge mur enfant,Kinderwanduhr,orologio muro bimbi,컬러풀 벽시계,0776,0366,1303,1303,0811,0809,0735,0884,1331,1.0,1800,29A2,2A4C,rmk_col_wall,Yes,,,,,kiddie wall clock,-
0776,kiddie wardrobe,kiddie wardrobe (Colorful),,,Nooklings,C,Yes,"2,180",-,545,436,-,Closet,1x1,No,No,No,,,Storage,Press,Press,151,kiddie,Series,Toy Shop,colorful,colorful,-,cute,,No,Yes,218,3,3,the body color,1,-,-,-,,-,-,カラフルなクロゼット,ropero puzle,ropero puzle,penderie enfant,penderie enfant,Kinderschrank,armadio bimbi,컬러풀 옷장,0777,0367,1370,1369,1203,1201,0728,0049,1337,1.0,2180,299A,2A44,rmk_col_chestB,No,,,,,,-
0777,Kiki and Lala bed,Kiki and Lala bed,,,Étoile's RV,-,No,-,-,"3,000",-,-,Bed,2x2,No,No,No,,,Sleep,-,Sleep,300,-,-,Fairy Tale / Toy Shop,white,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,キキ&ララなベッド,cama Kiki & Lala,cama Kiki & Lala,lit Kiki & Lala,lit Kiki & Lala,Kiki-&-Lala-Bett,letto Kiki and Lala,리틀 트윈 스타 침대,0778,0397,0326,0324,0978,0976,0717,0687,0428,1.4,12000,-,3066,int_lts_bedW,Yes,,,,Kiki & Lala bed,,Kiki and Lala bed
0778,Kiki and Lala clock,Kiki and Lala clock,,,Étoile's RV,-,No,-,-,"3,000",-,-,Clock,1x1,Yes,No,Yes,,,,,,300,-,-,Fairy Tale / Toy Shop,yellow,pink,-,cute,,No,No,-,2,1,-,1,-,-,-,,-,-,キキ&ララなとけい,reloj Kiki & Lala,reloj Kiki & Lala,horloge Kiki & Lala,horloge Kiki & Lala,Kiki-&-Lala-Uhr,orol. Kiki and Lala,리틀 트윈 스타 시계,0779,0396,1316,1316,0804,0802,0720,0852,0427,1.4,12000,-,3067,int_lts_clockN_floor,Yes,,,,Kiki & Lala clock,,Kiki and Lala clock
0779,Kiki and Lala sofa,Kiki and Lala sofa,,,Étoile's RV,-,No,-,-,"3,000",-,-,Seat,2x1,No,No,No,,,Sit,-,Sit,300,-,-,Fairy Tale / Toy Shop,pink,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,キキ&ララなソファ,sofá Kiki & Lala,sofá Kiki & Lala,canapé Kiki & Lala,canapé Kiki & Lala,Kiki-&-Lala-Sofa,sofà Kiki and Lala,리틀 트윈 스타 소파,0780,0394,1507,1506,0293,0291,0718,1353,0426,1.4,12000,-,306A,int_lts_chairL,Yes,,,,Kiki & Lala sofa,,Kiki and Lala sofa
0780,Kiki and Lala table,Kiki and Lala table,,,Étoile's RV,-,No,-,-,"3,000",-,-,Table,2x1,No,Yes,No,,,,,,300,-,-,Fairy Tale / Toy Shop,yellow,colorful,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,キキ&ララなテーブル,mesa Kiki & Lala,mesa Kiki & Lala,table Kiki & Lala,table Kiki & Lala,Kiki-&-Lala-Tisch,tavolo Kiki and Lala,리틀 트윈 스타 테이블,0781,0395,0998,0998,1538,1538,0719,1524,0429,1.4,12000,-,3069,int_lts_tableM,Yes,,,,Kiki & Lala table,,Kiki and Lala table
0781,kimbap plate,kimbap plate,,,DLC,-,No,-,-,200,160,-,-,1x1,No,No,Yes,,,,,,300,-,-,Harmonious,white,black,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,キムパブ,kimbap coreano,kimbap coreano,plat de gimbap,plat de gimbap,Kimbap-Teller,kimbap coreano,김밥,0782,0415,0756,0756,1253,1251,0721,0551,0168,1.0,800,2C1C,2CC6,int_oth_makizushi,No,,,,,,-
0782,Kinderdijk windmill,Kinderdijk windmill,,,Gulliver,-,Yes,"1,200",-,300,240,-,Model,1x1,No,No,No,,,-,,,1051,-,-,Toy Shop,white,green,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,キンデルダイクのふうしゃ,molino de viento,molino de viento,moulin de Kinderdijk,moulin de Kinderdijk,Windmühlen-Souvenir,mulino a vento,킨더다이크의 풍차,0783,0445,1089,1088,1112,1110,1706,0830,1408,1.0,1200,2DBF,2E69,int_jhn_windmill,Yes,,,,,Kinderdijk windmill,-
0783,king,king (Natural brown),,,Spotlight,-,Yes,"8,000",-,"2,000","1,600",-,-,1x1,No,No,No,,,,,,351,chess,Set,Toy Shop,brown,brown,-,modern,,No,Yes,800,4,3,the piece color,1,-,1,Gold Nugget,,-,-,キングのこま,rey,rey,roi,roi,König,re,킹,0784,0443,1352,1352,1366,1364,0771,1066,1410,1.0,8000,2AAE,2B58,rmk_chs_king,No,,,"black king, white king",-,,-
0784,kitchen corner,kitchen corner,,,Nooklings,B,Yes,"1,800",-,450,360,-,-,1x1,No,No,No,,,,,,151,-,-,Sci-Fi,white,white,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,キッチンのコーナー,esquina cocina,esquina cocina,évier de coin,évier de coin,Küchenecke,angolo cucina,부엌 코너 싱크대,0785,0401,0570,0568,0647,0645,0799,0024,0667,1.0,1800,2B75,2C1F,int_oth_sys_kB,No,,,,,,-
0785,kitchen counter,kitchen counter,,,Admiral's RV,-,No,-,-,700,560,-,Table,2x1,No,Yes,No,,,,,,151,-,-,-,gray,gray,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,ちゅうぼうのちょうりだい,encimera de cocina,encimera de cocina,plan travail resto,plan travail resto,Küchentheke,bancone cucina,음식점 조리대,0786,0963,0542,0540,1241,1239,0803,0135,1093,1.4,2800,-,2FA3,int_fod_table,No,,,,kitchen counter,kitchen counter,kitchen counter
0786,kitchen dishwasher,kitchen dishwasher,,,Admiral's RV,-,No,-,-,900,720,-,-,2x1,No,No,No,,,,,,151,-,-,-,gray,gray,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,ちゅうぼうのしょくせんき,lavavajillas exprés,lavavajillas exprés,lave-vaisselle resto,lave-vaisselle resto,Spülstation,lavastoviglie deluxe,음식점 식기세척기,0787,0962,0843,0843,0941,0939,1448,0651,1092,1.4,3600,-,2FC3,int_fod_dishwasher,No,,,,kitchen dishwasher,kitchen dishwasher,-
0787,kitchen island,kitchen island,,,Souvenir Shop,-,No,-,30,375,300,18,-,2x2,No,Yes,No,,,,,,1200,-,-,-,beige,beige,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,アイランドキッチン,isla de cocina,isla de cocina,îlot de cuisine,îlot de cuisine,Kücheninsel,isola da cucina,아일랜드 키친,0788,0058,0724,0725,0833,0831,0800,0543,0947,1.0,1500,2C97,2D41,int_oth_is_kitchen,Yes,,,,kitchen island,kitchen island,kitchen island
0788,kitchen refrigerator,kitchen refrigerator,,,Admiral's RV,-,No,-,-,"1,000",800,-,-,1x1,No,No,No,,,,,,151,-,-,-,gray,gray,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,ちゅうぼうのれいぞうこ,heladera industrial,nevera industrial,réfrigérateur resto,réfrigérateur resto,Industriekühlschrank,frigorifero deluxe,음식점 냉장고,0789,0964,0701,1122,1357,1355,0637,0491,1091,1.4,4000,-,2FA4,int_oth_iceD_chestB,No,,,,,kitchen refrigerator,kitchen refrigerator
0789,kitchen scale,kitchen scale,,,Nooklings,C,Yes,"1,200",-,300,240,-,-,1x1,No,No,Yes,,,,,,151,-,-,Sci-Fi,white,green,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,はかり,báscula de cocina,báscula de cocina,balance de cuisine,balance de cuisine,Küchenwaage,bilancia da cucina,저울,0790,1180,0170,0167,0093,0093,0805,0168,1156,1.0,1200,2E1C,2EC6,int_oth_weighing,Yes,,,,analog kitchen scale,kitchen scale,-
0790,kitchen sink,kitchen sink,,,Nooklings,A,Yes,"2,400",-,600,480,-,-,2x1,No,No,No,,,,,,151,-,-,Sci-Fi,white,white,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,キッチンのシンク,fregadero con mueble,fregadero con mueble,meuble évier,meuble évier,Küchenzeile,lavandino cucina,부엌 싱크대,0791,0402,0658,0659,1073,1072,0806,0644,0666,1.0,2400,2B74,2C1E,int_oth_sys_kA,No,,,,,,kitchen sink
0791,kitchen stove,kitchen stove,,,Admiral's RV,-,No,-,-,900,720,-,-,2x1,No,Yes,No,,,,,,151,-,-,-,gray,gray,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,ちゅうぼうのコンロ,cocina industrial,cocina industrial,cuisinière resto,cuisinière resto,Gastro-Herd,cucina da ristorante,음식점 가스레인지,0792,0961,0439,0439,0553,0552,0457,0388,1090,1.4,3600,-,2FE6,int_fod_kitchen,No,,,,kitchen stove,kitchen stove,kitchen stove
0792,kitschy clock,kitschy clock,,,Nooklings,D,Yes,"1,800",-,450,360,-,Clock,1x1,No,No,No,,,,,,151,-,-,-,gray,colorful,-,sporty,,No,No,-,1,1,-,1,-,-,-,,-,-,アメリカンクロック,reloj ornamental,reloj ornamental,horloge kitsch,horloge kitsch,Kitsch-Uhr,orologio kitsch,미국 시계,0793,0104,1324,1324,0805,0803,0739,0880,0528,1.0,1800,2BA8,2C52,int_oth_clockN_usa,No,,,,,,kitschy clock
0793,kiwi stool,kiwi stool (Green),,,Nooklings,A,Yes,"1,500",-,375,300,-,Seat,1x1,No,Yes,No,,,Sit,-,Sit,151,citrus,Set,Rustic,green,brown,-,cute,,No,Yes,150,2,2,the kiwi color,1,-,-,-,,-,-,キウイなスツール,taburete kiwi,taburete kiwi,tabouret kiwi,tabouret kiwi,Kiwihocker,sgabello kiwi,키위 스툴,0794,0392,1564,1563,1592,1592,0740,1317,1406,1.0,1500,2B14,2BBE,rmk_ctr_stool,Yes,,,,-,kiwi stool,kiwi stool
0794,knight,knight (Natural brown),,,Nooklings,C,Yes,"2,800",-,700,560,-,-,1x1,No,No,No,,,,,,151,chess,Set,Toy Shop,brown,brown,-,modern,,No,Yes,280,4,3,the piece color,1,-,1,Gold Nugget,,-,-,ナイトのこま,caballo,caballo,cavalier,cavalier,Springer,cavallo,나이트,0795,1089,0245,0243,0327,0326,1445,0281,0189,1.0,2800,2AAF,2B59,rmk_chs_knight,No,,,"black knight, white knight",-,,-
0795,kokeshi doll,kokeshi doll (Normal wood doll),,,Nooklings,A,Yes,800,-,200,160,-,Doll,1x1,No,No,Yes,,,,,,151,-,-,Harmonious / Toy Shop / Quirky,brown,brown,-,iconic,,No,Yes,80,8,8,the kokeshi-doll face,1,-,-,-,,-,-,こけし,muñeca kokeshi,muñeca kokeshi,poupée kokeshi,poupée kokeshi,Kokeshi-Figur,bambola Kokeshi,일본 목각인형,0796,0582,1116,1115,1318,1316,0766,0120,1120,1.0,800,2E1E,2EC8,rmk_oth_kokeshi,Yes,,,,,kokeshi doll,kokeshi doll
0796,kotatsu,kotatsu (Blue blanket),,,Nooklings,A,Yes,"1,200",-,300,240,-,Table,2x2,No,Yes,No,,,,,,151,-,-,Harmonious,blue,brown,-,historical,,No,Yes,120,7,7,the blanket,1,-,-,-,,-,-,こたつ,kotatsu,kotatsu,kotatsu,kotatsu,Heiztisch,kotatsu,이불탁자,0797,0590,0761,0761,0854,0852,0558,0553,1102,1.0,1200,2BC1,2C6B,rmk_oth_kotatsu,No,,,"blue kotatsu, pink kotatsu",kotatsu,,kotatsu
0797,lab bench,lab bench,,,Nooklings,C,Yes,"4,800",-,"1,200",960,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,151,mad scientist,Theme,Sci-Fi / Quirky,gray,gray,-,flashy,,No,No,-,1,1,-,1,-,-,-,,-,-,じっけんだい,psicobanco,psicobanco,lit labo,lit labo,Laborliege,panca laboratorio,실험대,0798,0673,1250,1253,0979,0977,0828,0927,0888,1.0,4800,2A97,2B41,int_mad_bedS,No,,,,,,-
0798,lab chair,lab chair,,,Nooklings,B,Yes,"2,200",-,550,440,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,mad scientist,Theme,Sci-Fi / Quirky,gray,gray,-,flashy,,No,No,-,1,1,-,1,-,-,-,,-,-,じっけんイス,psicosilla,psicosilla,chaise labo,chaise labo,Laborstuhl,sedia laboratorio,실험 의자,0799,0672,1255,1258,0371,0370,0829,1222,0887,1.0,2200,2A98,2B42,int_mad_chairS,No,,,,lab chair,,lab chair
0799,laboratory capsule,laboratory capsule,,,Murphy's RV,-,No,-,-,"1,300","1,040",-,-,2x2,No,No,No,,,,,,151,-,-,Sci-Fi,green,black,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,けんきゅうカプセル,cápsula experimental,cápsula experimental,capsule de recherche,capsule de recherche,Forschungskapsel,capsula sperimentale,연구 캡슐,0800,0542,0376,0374,0313,0311,0416,0237,0994,1.4,5200,-,2F1A,int_mad_labocapsule,No,,,,science pod,laboratory capsule,laboratory capsule
0800,Labrador ornament,Labrador ornament,,,Fortune,-,No,-,-,"3,000",-,-,Doll,1x1,No,No,Yes,,,,,,151,-,-,Toy Shop,beige,beige,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,ラブラドールのおきもの,figura labrador,figura labrador,statuette labrador,statuette labrador,Labrador-Ornament,statua labrador,래브라도 모형,0801,1625,0642,0642,1462,1462,0831,1402,0354,1.4,12000,-,3093,int_nin_dog_La,No,,,labrador model,,,-
0801,lady palm,lady palm,,,Garden Shop,-,Yes,"1,200",-,300,240,-,Plant,1x1,No,No,No,,,-,-,-,199,house plant,Set,Rustic,green,brown,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,シュロチク,palmera bambú,palmera bambú,palmier chanvre,palmier chanvre,Steckenpalme,palma nana,관음죽,0802,0706,1157,1158,1152,1150,1462,0917,0122,1.0,1200,2B31,2BDB,int_plt_rattan,No,,,,,,lady palm
0802,ladybug chair,ladybug chair,,,Nat,-,No,-,-,450,360,-,Seat,1x1,No,No,No,,,Sit,-,Sit,651,insect,Set,Toy Shop,red,black,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,テントウムシのイス,taburete catarina,taburete mariquita,siège coccinelle,siège coccinelle,Marienkäferschemel,sgabello coccinella,무당벌레 의자,0803,1032,1559,1565,1416,1415,0898,1308,0503,1.0,1800,2CDE,2D88,int_isc_stool,Yes,,,,,ladybug chair,-
0803,lantern,lantern,,,Nooklings,A,Yes,"1,180",-,295,236,-,Light,1x1,No,No,Yes,,,Toggle,Light,Press,151,-,-,-,red,white,-,sporty,,No,No,-,1,1,-,1,-,-,-,,-,-,ランタン,farol,farol,lanterne,lanterne,Laterne,lanterna,랜턴,0804,1637,0618,0616,0928,0926,0842,0620,0355,1.0,1180,2B6D,2C17,int_tnt_lamp,No,,,,lantern,,lantern
0804,laptop,laptop (White),,,Nooklings,D,Yes,"2,000",-,500,400,-,-,1x1,No,No,Yes,,,,,,151,-,-,Trendy / Sci-Fi,white,white,-,modern,,No,Yes,200,2,2,the laptop color,1,-,-,-,,-,-,ノートパソコン,ordenador portátil,ordenador portátil,ordinateur portable,ordinateur portable,Notebook,laptop,노트북,0805,1120,1143,1144,1139,1137,1022,0629,0229,1.0,2000,2CAC,2D56,rmk_oth_laptop,Yes,,,,laptop,laptop,laptop
0805,large alpine table,large alpine table (Natural - Nature),,,Nooklings,D,Yes,"2,400",-,600,480,-,Table,2x2,No,Yes,No,,,,,,151,alpine,Series,Rustic,brown,gray,-,iconic,,No,Yes,240,24,3,the wood-grain color,8,the fabric,-,-,,-,-,スカンジナビアテーブルL,mesa nórdica,mesa nórdica,table ronde nordique,table ronde nordique,Nord-Esstisch,tavolo nordico,스칸디나비아 테이블 L,0806,0764,1008,1008,1563,1563,1008,1536,0822,1.0,2400,2D42,2DEC,rmk_scd_tableL,Yes,,,,,large alpine table,-
0806,large bookshelf,large bookshelf,,,Nooklings,A,Yes,"2,400",-,600,480,-,-,2x1,No,No,No,,,,,,151,-,-,-,brown,brown,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,りょうめんのほんだな,librería grande,librería grande,bibliothèque massive,bibliothèque massive,Doppel-Bücherregal,libreria grande,양면 책장,0807,1657,0857,0855,0144,0143,0282,0718,0970,1.0,2400,2C3E,2CE8,int_oth_bookshelf_L,Yes,,,,,large bookshelf,large bookshelf
0807,large magazine rack,large magazine rack,,,Nooklings,D,Yes,"2,200",-,550,440,-,-,2x1,No,No,No,,,,,,151,-,-,Trendy,brown,colorful,-,basic,,No,No,-,1,1,-,1,-,-,-,,-,-,マガジンラックL,revistero grande,revistero grande,porte-revues XXL,porte-revues XXL,Zeitschriftenregal,portariviste grande,잡지 꽂이 L,0808,1462,1350,1350,1292,1290,1729,1034,1143,1.0,2200,2C72,2D1C,int_oth_magazinerackL,Yes,,,,large magazine rack,large magazine rack,large magazine rack
0808,large space console,large space console,,,Spotlight,-,Yes,"3,200",-,800,640,-,-,2x1,No,No,No,,,,,,351,sci-fi,Theme,Sci-Fi / Toy Shop,gray,aqua,-,modern,,No,No,-,1,1,-,1,-,-,-,,-,-,おおきいけいき,gran cuadro mandos,gran cuadro mandos,ordinateur de bord,ordinateur de bord,Kontrollkonsole,quadro comandi maxi,커다란 계기판,0809,0209,0687,0689,1138,1136,0774,1054,1314,1.0,3200,2DAA,2E54,int_sff_meterM,Yes,,,,,large space console,large space console
0809,large tea table,large tea table,,,Campground Shop,-,No,-,-,700,560,-,Table,2x2,No,Yes,No,,,,,,151,-,-,Harmonious / Antique,brown,brown,-,historical,,No,No,-,1,1,-,1,-,-,-,,-,-,おおきなちゃぶだい,mesa de té redonda,mesa de té redonda,grande table à thé,grande table à thé,Teetisch,tavolo basso da tè,크고 낮은 밥상,0810,0212,0975,0974,0736,0734,1541,1485,1372,1.4,2800,-,3014,int_jpn_tableL,No,,,,tea table,large tea table,large tea table
0810,lat pulldown machine,lat pulldown machine,,,Nooklings,C,Yes,"2,380",-,595,476,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,-,-,Sci-Fi,gray,gray,-,sporty,,No,No,-,1,1,-,1,-,-,-,,-,-,ラットプルダウン,máquina espalda,máquina espalda,station poulie haute,station poulie haute,Latzuggerät,macchina bicipiti,어깨 운동 기구,0811,1622,0916,0913,1449,1449,0843,0734,0975,1.0,2380,2CF0,2D9A,int_fns_lat,Yes,,,,,lat pulldown machine,lat pulldown machine
0811,lava lamp,lava lamp (Red),,,Nooklings,A,Yes,"1,800",-,450,360,-,Light,1x1,No,No,No,,,Toggle,Light,Press,151,-,-,Trendy / Sci-Fi / Toy Shop,aqua,aqua,-,modern,,No,Yes,180,6,6,the light color,1,-,-,-,,-,-,ラバランプ,lámpara de lava,lámpara de lava,lampe à lave,lampe à lave,Lavalampe,lava lamp,라바램프,0812,1623,0777,0777,0867,0865,0850,0634,0351,1.0,1800,2AEE,2B98,rmk_oth_lavalamp,No,,,"blue lava lamp, purple lava lamp, green lava lamp",rocket lamp,,lava lamp
0812,lawn chair,lawn chair (Blue),,,Nooklings,C,Yes,"1,180",-,295,236,-,Seat,1x1,No,No,No,,,Sit,-,Sit,151,mossy garden,Theme,-,aqua,gray,-,cute,,No,Yes,118,3,3,the vinyl color,1,-,-,-,,-,-,ビニールチェア,silla jardín,silla jardín,chaise de jardin,chaise de jardin,Gartenstuhl,sedia giardino,비닐 체어,0813,1306,1448,1448,0352,0351,0451,1217,0692,1.0,1180,2A87,2B31,rmk_gdn_chairS,No,,,,lawn chair,,lawn chair
0813,lawn mower,lawn mower,,,Nooklings,C,Yes,"2,760",-,690,552,-,-,1x1,No,No,No,,,,,,151,mossy garden,Theme,-,red,red,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,しばかりき,cortacésped,cortacésped,tondeuse à gazon,tondeuse à gazon,Rasenmäher,tagliaerba,잔디 깎기,0814,0682,0516,0514,1652,1652,1183,1433,1140,1.0,2760,2A88,2B32,int_gdn_lawnmower,No,,,,lawn mower,,lawn mower
0814,lazy-Susan table,lazy-Susan table,,,Nooklings,B,Yes,"2,400",-,600,480,-,-,2x2,No,No,No,,,,,,151,-,-,Harmonious,red,red,-,iconic,,No,No,-,1,1,-,1,-,-,-,,-,-,ちゅうかテーブル,mesa giratoria,mesa giratoria,table plat. tournant,table plat. tournant,Asia-Restauranttisch,tavolo cinese,중화요리 테이블,0815,0956,0990,0990,1554,1554,0059,1493,1213,1.0,2400,2CA5,2D4F,int_oth_turntable,Yes,,,,imperial dining table,lazy-Susan table,lazy-Susan table
0815,leaf bed,leaf bed,,,DLC,-,Yes,"4,200",-,"1,050",840,-,Bed,2x1,No,No,No,,,Sleep,-,Sleep,300,-,-,Rustic,green,green,-,cute,,No,No,-,1,1,-,1,-,-,-,,-,-,はっぱベッド,cama hoja,cama hoja,lit feuille,lit feuille,Blattbett,letto foglia,나뭇잎 침대,0816,1209,0322,0320,0972,0970,0147,0680,0186,1.0,4200,2E13,2EBD,int_mon_05,Yes,,,,,leaf bed,leaf bed
