#,Name,Image,Type,Source,Season,Reorderable,Buy Price (Bells),Buy Price (Medals),Sell Price (Re-Tail),Sell Price (Nooklings),Sell Price (Leila),HHA Base Points,Series,HHA Theme Challenge,When HHA Lucky,Color 1,Color 2,Fashion,Gender,Category,Catalog Keyword,Name (1.0),Name (English EU),Name (Japanese),Name (Spanish NA),Name (Spanish EU),Name (French NA),Name (French EU),Name (German),Name (Italian),Name (Korean),Version Added,Hex ID (1.0),Hex ID (1.4),Hex ID [Wall] (1.4),Model Filename,New To Series,Name (GCN),Name (WW),Name (CF),Name (NH),Name (HHD),Name (PC)
148,doctor's coat,,Shirt,Able Sisters,-,Yes,300,-,75,60,3,3,doctor,Sci-Fi / Quirky,-,white,white,official,Male,-,,-,-,はくい,bata de doctor,bata de doctor,blouse de docteur,blouse de docteur,Arztkittel,giacca medico,백의,1.0,2513,2560,3599,tops_doctor,No,,,doctor's coat,,,doctor's coat
149,dogtooth shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,-,-,black,gray,iconic,Unisex,Plaid,,-,-,ちどりごうしのふくL,jersey pata gallo,jersey pata gallo,pull pied de coq,pull pied de coq,Pepita-Pulli,maglia pied de poule,바람개비무늬 옷 L,1.0,25B6,2603,363C,tops_hound,Yes,,,-,,,-
150,dogtooth tee,,T-Shirt,Able Sisters,Winter,Yes,370,-,92,73,4,3,-,-,-,black,gray,iconic,Unisex,Plaid,,-,-,ちどりごうしのふく,camiseta pata gallo,camiseta pata gallo,t-shirt pied de coq,t-shirt pied de coq,Pepita-Shirt,maglietta pied de p.,바람개비무늬 옷,1.0,2483,24D0,3509,tops_hound,Yes,,,-,,,dogtooth tee
151,Dr. Shrunk's jacket,,Shirt,Dr. Shrunk,-,No,-,-,200,-,10,499,-,Toy Shop,-,yellow,red,flashy,Unisex,Nature,,-,-,ししょーのいしょー,americana Dr. Sito,americana Dr. Sito,veste Ciboulot,veste Ciboulot,Samselt-Jacke,giacca di Strizzo,스승 의상,1.0,259E,25EB,3624,tops_shisho,Yes,,,-,,,-
152,dragon jacket,,Shirt,GracieGrace,-,No,"5,200",-,"1,300",-,65,299,-,Harmonious,-,blue,colorful,rock 'n' roll,Male,Nature,,-,-,ドラゴンのスカジャン,cazadora dragón,cazadora dragón,veste dragon,veste dragon,Drachenjacke,giacca blu e oro,용 점퍼,1.0,2556,25A3,35DC,tops_skajan_dragon,Yes,,,-,,,dragon jacket
153,dragon suit,,T-Shirt,Able Sisters,Summer,Yes,340,-,85,68,4,3,-,Harmonious / Toy Shop,-,orange,black,sporty,Male,Manufactured,,-,-,ドラゴンスーツ,camiseta dragón,camiseta dragón,t-shirt dragon,t-shirt dragon,Drachenshirt,maglietta drago,드래곤 옷,1.0,2506,2553,358C,tops_dragon,No,,,dragon suit,,,dragon suit
154,dreamy tee,,T-Shirt,Able Sisters,Spring,Yes,400,-,100,80,5,3,-,Rustic,-,pink,aqua,cute,Female,Nature,,-,-,ゆめのはながらのシャツ,camiseta ensueño,camiseta ensueño,t-shirt de rêve,t-shirt de rêve,Frotteeshirt,maglietta da sogno,파스텔 꽃무늬 셔츠,1.0,257F,25CC,3605,tops_flw_dream,Yes,,,-,,,-
155,earthy knit shirt,,Shirt,Able Sisters,Winter,Yes,390,-,97,77,4,3,-,-,-,beige,yellow,basic,Unisex,Nature,,-,-,つちいろのニット,jersey tierra,jersey tierra,pull ocre,pull ocre,Polarpulli,maglione campagnolo,황토색 니트,1.0,24C8,2515,354E,tops_knit_earthy,Yes,,,-,,,earthy knit shirt
156,eight-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,black,black,sporty,Unisex,Manufactured,,-,-,8ばんだまのふく,camiseta bola 8,camiseta bola 8,t-shirt nº 8,t-shirt nº 8,8er-Shirt,maglietta palla 8,8번공 옷,1.0,244F,249C,34D5,tops_numball_8,Yes,,,-,,,eight-ball tee
157,elephant shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,blue,aqua,cute,Unisex,Animal,,-,-,ゾウのふくL,jersey elefantito,jersey elefantito,pull éléphant,pull éléphant,Elefantenpulli,maglia elefante,코끼리 옷 L,1.0,25B3,2600,3639,tops_anml_elephant,No,,,elephant shirt,,,-
158,elephant tee,,T-Shirt,Able Sisters,-,Yes,260,-,65,52,3,3,-,-,-,blue,aqua,cute,Unisex,Animal,,-,-,ゾウのふく,camiseta elefantito,camiseta elefantito,t-shirt éléphant,t-shirt éléphant,Elefantenshirt,maglietta elefante,코끼리 옷,1.0,245F,24AC,34E5,tops_anml_elephant,Yes,,,-,,,-
159,Epona outfit,,Tank Top,Epona's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,brown,brown,iconic,Unisex,Manufactured,,-,-,エポナのふく,top Epona,top Epona,tenue Épona,tenue Épona,Epona-Outfit,costume Epona,에포나 옷,1.4,-,266B,36A4,tops_nin_epona,Yes,,,-,,,-
160,explorer tee,,T-Shirt,Able Sisters,-,Yes,400,-,100,80,5,3,explorer,-,-,beige,gray,sporty,Male,-,,-,-,たんけんふく,camiseta explorador,camiseta explorador,t-shirt aventure,t-shirt aventure,Safarishirt,maglietta esplorat.,탐험복,1.0,251D,256A,35A3,tops_explorer,Yes,,,-,,,explorer tee
161,fall leaf shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,Rustic,-,brown,yellow,historical,Unisex,Nature,,-,-,あきいろはっぱなふくL,jersey otoño,jersey otoño,pull automnal,pull automnal,Blätterpulli,maglia autunno,가을빛 나뭇잎 옷 L,1.0,25B2,25FF,3638,tops_leaf_fall,No,,,fall leaf shirt,,,-
162,fall leaf tee,,T-Shirt,Able Sisters,Fall,Yes,280,-,70,56,3,3,-,Rustic,-,brown,yellow,historical,Unisex,Nature,,-,-,あきいろはっぱなふく,camiseta otoño,camiseta otoño,t-shirt automnal,t-shirt automnal,Blättershirt,maglietta autunno,가을빛 나뭇잎 옷,1.0,24D0,251D,3556,tops_leaf_fall,Yes,,,-,,,-
163,fall plaid shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,brown,yellow,iconic,Unisex,Plaid,,-,-,あきのタータンのふくL,jersey tartán lila,jersey tartán lila,pull automne,pull automne,Herbstpulli,maglia autunnale,가을 타탄 옷 L,1.0,25D8,2625,365E,tops_tartan_fall,No,,,fall plaid shirt,,,fall plaid shirt
164,fall plaid tee,,T-Shirt,Able Sisters,Fall,Yes,370,-,92,73,4,3,-,-,-,brown,yellow,iconic,Unisex,Plaid,,-,-,あきのタータンのふく,camiseta tartán lila,camiseta tartán lila,t-shirt automne,t-shirt automne,Herbstshirt,maglietta autunnale,가을 타탄 옷,1.0,2491,24DE,3517,tops_tartan_fall,Yes,,,-,,,fall plaid tee
165,Felyne outfit,,T-Shirt,Felyne's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,orange,orange,iconic,Unisex,-,,-,-,アイルーのふく,chaleco de Felyne,chaleco Felyne,tenue de Felyne,tenue Felyne,Felyne-Outfit,vestito Felyne,아이루 옷,1.4,-,2664,369D,tops_airou,Yes,,,-,,,-
166,fern shirt,,Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Rustic,-,green,green,basic,Unisex,Nature,,-,-,はっぱがらのふくL,jersey helechos,jersey helechos,pull fougère,pull fougère,Farnpulli,maglia felce,나뭇잎무늬 옷 L,1.0,25B0,25FD,3636,tops_ptn_leaf,No,,,fern shirt,,,-
167,fern tee,,T-Shirt,Able Sisters,Summer,Yes,300,-,75,60,3,3,-,Rustic,-,green,green,basic,Unisex,Nature,,-,-,はっぱがらのふく,camiseta helechos,camiseta helechos,t-shirt fougère,t-shirt fougère,Farnshirt,maglietta felce,나뭇잎무늬 옷,1.0,24CE,251B,3554,tops_ptn_leaf,Yes,,,-,,,fern tee
168,Festivale tank,,Tank Top,Able Sisters,Spring,Yes,360,-,90,72,4,33,-,-,-,green,red,iconic,Unisex,Nature,,-,-,サンバなふく,top de carnaval,top de carnaval,débardeur carnaval,débardeur carnaval,Karnevals-Top,canotta samba,삼바 옷,1.0,258D,25DA,3613,tops_sht_samba,Yes,,,-,,,Festivale tank
169,fiendish shirt,,Shirt,Able Sisters,-,Yes,680,-,170,136,8,3,-,-,-,red,black,flashy,Unisex,-,,-,-,あかいネットのふく,jersey red roja,jersey red roja,pull magma,pull magma,Wabenpulli,maglia a rete rossa,빨간 망사 옷,1.0,24F9,2546,357F,tops_rednet,No,,,fiendish shirt,,,-
170,firefighter shirt,,Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,firefighter,-,-,black,yellow,sporty,Unisex,-,,-,-,しょうぼうふく,chaqueta de bombero,chaqueta de bombero,pull pompier,pull pompier,Feuerwehrjacke,giacca pompiere,소방관 제복,1.0,2512,255F,3598,tops_firefighter,Yes,,,-,,,-
171,fish tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,black,yellow,rock 'n' roll,Male,Manufactured,,-,-,さかなのふく,camiseta pececillo,camiseta pececillo,t-shirt poisson,t-shirt poisson,Fischgrät-Shirt,maglietta pesciolino,물고기 옷,1.0,245A,24A7,34E0,tops_fishbone,Yes,,,-,,,-
172,fishing vest,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,red,orange,sporty,Unisex,-,,-,-,つりジャケット,camiseta de pesca,camiseta de pesca,veste de pêcheur,veste de pêcheur,Angelweste,giubbotto da pesca,낚시 재킷,1.0,2547,2594,35CD,tops_fish_jkt,Yes,,,-,,,fishing vest
173,five-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,orange,orange,sporty,Unisex,Manufactured,,-,-,5ばんだまのふく,camiseta bola 5,camiseta bola 5,t-shirt nº 5,t-shirt nº 5,5er-Shirt,maglietta palla 5,5번공 옷,1.0,244C,2499,34D2,tops_numball_5,Yes,,,-,,,five-ball tee
174,flame shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,black,red,rock 'n' roll,Male,Nature,,-,-,ファイアーなふくL,jersey fuego,jersey fuego,pull flamme,pull flamme,Feuerpulli,maglia fiamma,파이어 옷 L,1.0,25CF,261C,3655,tops_fire,No,,,flame shirt,,,flame shirt
175,flame tee,,T-Shirt,Able Sisters,-,Yes,360,-,90,72,4,3,-,-,-,black,red,rock 'n' roll,Male,Nature,,-,-,ファイアーなふく,camiseta fuego,camiseta fuego,t-shirt flamme,t-shirt flamme,Feuershirt,maglietta fiamma,파이어 옷,1.0,24D9,2526,355F,tops_fire,Yes,,,-,,,flame tee
176,flan tank,,Tank Top,GracieGrace,-,No,"5,200",-,"1,300",-,65,251,-,Fairy Tale,-,beige,brown,flashy,Unisex,Nature,,-,-,プリンなふく,top flan,top flan,débardeur flan,débardeur flan,Puddingtop,canotta budino,푸딩 옷,1.0,2501,254E,3587,tops_food_pudding,Yes,,,-,,,flan tank
177,flashy suit,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,-,-,white,orange,ornate,Unisex,-,,-,-,ハデなスーツ,saco llamativo,chaqueta llamativa,costume criard,costume criard,Imponierhemd,giacca vistosa,화려한 옷,1.4,-,265F,3698,tops_gaudy_suit,Yes,,,-,,,-
178,flight-crew shirt,,Shirt,Able Sisters,-,Yes,"1,200",-,300,240,15,3,-,-,-,blue,pink,official,Female,-,,-,-,アテンダントのふく,uniforme de azafata,uniforme de azafata,pull hôtesse,pull hôtesse,Stewardessjacke,giacca hostess,승무원 옷,1.0,2591,25DE,3617,tops_stewardess,Yes,,,-,,,flight-crew shirt
179,floral knit tee,,T-Shirt,Able Sisters,Spring,Yes,420,-,105,84,5,3,-,Rustic,-,purple,white,cute,Unisex,Nature,,-,-,しろいはなのシャツ,camiseta iris,camiseta iris,t-shirt floral,t-shirt floral,Primelshirt,maglietta fioroni,하얀색 꽃그림 셔츠,1.0,257E,25CB,3604,tops_flw_floral,Yes,,,-,,,floral knit tee
180,flowery tee,,T-Shirt,Able Sisters,-,Yes,480,-,120,96,6,3,-,Rustic,-,white,pink,cute,Female,Nature,,-,-,はながらのドレス,camiseta floral rosa,camiseta floral rosa,t-shirt cerisier,t-shirt cerisier,Kirschblütenshirt,maglietta delicata,꽃무늬 드레스,1.0,259B,25E8,3621,tops_dress_flw,Yes,,,-,,,-
181,folk shirt,,Shirt,Able Sisters,Winter,Yes,380,-,95,76,4,3,-,-,-,red,white,iconic,Unisex,Nature,,-,-,ネイティブニット,jersey folk,jersey folk,pull folklorique,pull folklorique,Folklorepulli,maglione folk,원주민 니트,1.0,24C3,2510,3549,tops_knit_native,No,,,folk shirt,,,folk shirt
182,folk tunic,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,chief,-,-,brown,brown,iconic,Unisex,-,,-,-,ネイティブなふく,túnica india,túnica india,tunique folklorique,tunique folklorique,Folklorekittel,maglia etnica,원주민 옷,1.0,253D,258A,35C3,tops_native,No,,,folk tunic,,,-
183,four-ball tee,,T-Shirt,Able Sisters,-,Yes,340,-,85,68,4,3,-,-,-,purple,purple,sporty,Unisex,Manufactured,,-,-,4ばんだまのふく,camiseta bola 4,camiseta bola 4,t-shirt nº 4,t-shirt nº 4,4er-Shirt,maglietta palla 4,4번공 옷,1.0,244B,2498,34D1,tops_numball_4,Yes,,,-,,,four-ball tee
184,fresh tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,white,green,sporty,Unisex,Nature,,-,-,さわやかなふくN,top brisa,top brisa,débardeur nouveau,débardeur nouveau,Sorbet-Top,canotta fresca,상큼한 옷 N,1.0,25F8,2645,367E,tops_img_fresh,Yes,,,-,,,-
185,fresh tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,white,green,sporty,Unisex,Nature,,-,-,さわやかなふく,camiseta brisa,camiseta brisa,t-shirt nouveau,t-shirt nouveau,Sorbet-Shirt,maglietta fresca,상큼한 옷,1.0,2471,24BE,34F7,tops_img_fresh,Yes,,,-,,,-
186,frilly apron,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,Fairy Tale,-,aqua,white,cute,Female,-,,-,-,フリルつきエプロン,delantal volantes,delantal volantes,tablier à jabot,tablier à jabot,Dienstmädchenschürze,grembiule vezzoso,프릴 앞치마,1.4,-,2663,369C,tops_apron_frill,Yes,,,-,,,-
187,frog costume,,Tank Top,Able Sisters,Summer,Yes,640,-,160,128,8,3,frog,-,-,green,green,cute,Unisex,Animal,,-,-,カエルなふく,top rana,top rana,haut grenouille,haut grenouille,Froschshirt,canotta anfibio,개구리 의상,1.0,2527,2574,35AD,tops_cstm_frog,Yes,,,-,,,frog costume
188,frog shirt,,Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,beige,green,cute,Unisex,Animal,,-,-,かえるのふくL,jersey ranita,jersey ranita,pull rainette,pull rainette,Quak-Pulli,maglia rana,개구리 옷 L,1.0,25AB,25F8,3631,tops_anml_frog,No,,,frog shirt,,,-
189,frog tee,,T-Shirt,Able Sisters,Summer,Yes,340,-,85,68,4,3,-,-,-,beige,green,cute,Unisex,Animal,,-,-,かえるのふく,camiseta ranita,camiseta ranita,t-shirt rainette,t-shirt rainette,Quak-Shirt,maglietta rana,개구리 옷,1.0,245B,24A8,34E1,tops_anml_frog,Yes,,,-,,,frog tee
190,funky-dot tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,Trendy,-,pink,purple,cute,Unisex,Dotted,,-,-,パープルドットのふくN,top topos lila,top topos lila,débardeur points,débardeur points,Funky-Top,canotta pois lilla,보라색 도트 옷 N,1.0,25F6,2643,367C,tops_dot_ppl,Yes,,,-,,,-
191,funky-dot tee,,T-Shirt,Able Sisters,-,Yes,430,-,107,85,5,3,-,-,-,pink,purple,cute,Female,Dotted,,-,-,パープルドットのふく,camiseta topos lila,camiseta topos lila,t-shirt points,t-shirt points,Funky-Shirt,maglietta pois lilla,보라색 도트 옷,1.0,249D,24EA,3523,tops_dot_ppl,Yes,,,-,,,funky-dot tee
192,future tank,,Tank Top,Able Sisters,Summer,Yes,390,-,97,77,4,3,-,Trendy / Sci-Fi / Toy Shop,-,purple,yellow,flashy,Unisex,Nature,,-,-,フューチャーなふく,top futurista,top futurista,débardeur futur,débardeur futur,Kreis-Top,canotta futuro,미래적인 옷,1.0,24DC,2529,3562,tops_future,Yes,,,-,,,-
193,Ganon outfit,,T-Shirt,Ganon's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,brown,brown,iconic,Unisex,-,,-,-,ガノンのふく,camiseta Ganon,camiseta Ganon,tenue de Ganon,tenue de Ganon,Ganon-Outfit,costume Ganon,가논 옷,1.4,-,2669,36A2,tops_nin_ganon,Yes,,,-,,,-
194,Ganondorf outfit,,Shirt,Ganon's RV,-,No,-,-,200,-,10,300,-,Toy Shop,-,colorful,colorful,iconic,Unisex,-,,-,-,ガノンドロフのふく,túnica de Ganondorf,túnica de Ganondorf,tenue de Ganondorf,tenue de Ganondorf,Ganondorf-Outfit,costume Ganondorf,가논돌프 옷,1.4,-,2668,36A1,tops_nin_ganondorf,Yes,,,-,,,-
195,garden tank,,Tank Top,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,Rustic / Fairy Tale,-,white,red,cute,Female,Nature,,-,-,はながらのプリントキャミ,top flores,top flores,débardeur jardin,débardeur jardin,Gartentop,canotta millefiori,꽃무늬 캐미솔,1.0,255B,25A8,35E1,tops_camiprint_flw,Yes,,,-,,,garden tank
196,gelato shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,red,green,cute,Unisex,H-Striped,,-,-,いちごボーダーなふくL,jersey góndola,jersey góndola,pull Rome,pull Rome,3-Farben-Pulli,maglia tricolore,딸기 줄무늬 옷 L,1.0,25D2,261F,3658,tops_border_stb,No,,,gelato shirt,,,gelato shirt
197,gelato tee,,T-Shirt,Able Sisters,-,Yes,330,-,82,65,4,3,-,-,-,red,green,cute,Unisex,H-Striped,,-,-,いちごボーダーなふく,camiseta góndola,camiseta góndola,t-shirt Rome,t-shirt Rome,3-Farben-Shirt,maglietta tricolore,딸기 줄무늬 옷,1.0,248D,24DA,3513,tops_border_stb,Yes,,,-,,,gelato tee
198,genie shirt,,Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,genie,-,-,purple,aqua,iconic,Male,-,,-,-,ペルシャのチョッキ,jersey persa,jersey persa,pull persan,pull persan,Orient-Pulli,maglia persiana,페르시아 조끼,1.0,253C,2589,35C2,tops_persian,Yes,,,-,,,-
199,genie vest,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,purple,aqua,iconic,Male,-,,-,-,ペルシャのチョッキN,chaleco persa,chaleco persa,débardeur persan,débardeur persan,Orient-Top,canotta persiana,페르시아 조끼 N,1.0,260A,2657,3690,tops_persian,Yes,,,-,,,-
200,giraffe tank,,Tank Top,GracieGrace,Summer,No,"5,800",-,"1,450",-,72,251,-,-,-,yellow,brown,flashy,Unisex,Animal,,-,-,キリンのふくN,top jirafa,top jirafa,débardeur girafe,débardeur girafe,Giraffentop,canotta giraffa,기린 옷 N,1.0,25FD,264A,3683,tops_anml_giraffe,Yes,,,-,,,-
201,giraffe tee,,T-Shirt,GracieGrace,-,No,"6,200",-,"1,550",-,77,251,-,-,-,yellow,brown,flashy,Unisex,Animal,,-,-,キリンのふく,camiseta jirafa,camiseta jirafa,t-shirt girafe,t-shirt girafe,Giraffenshirt,maglietta giraffa,기린 옷,1.0,24F5,2542,357B,tops_anml_giraffe,Yes,,,-,,,-
202,go-go shirt,,Shirt,Able Sisters,Fall,Yes,360,-,90,72,4,3,-,Trendy,-,orange,aqua,modern,Unisex,Nature,,-,-,レクタングルなふく,jersey lalalá,jersey lalalá,pull go-go,pull go-go,Disco-Pulli,maglia a rettangoli,직사각형 옷,1.0,258C,25D9,3612,tops_ptn_rectangle,No,,,go-go shirt,,,go-go shirt
203,gold-armor suit,,Shirt,Able Sisters,-,Yes,540,-,135,108,6,3,centurion,Antique / Quirky,-,yellow,yellow,historical,Male,-,,-,-,きんのかっちゅう,coraza de oro,coraza de oro,cuirasse plates or,cuirasse plates or,Goldrüstungshemd,armatura oro,금갑옷,1.0,252F,257C,35B5,tops_armor_gld,Yes,,,-,,,gold-armor suit
204,gold-bar shirt,,Shirt,Able Sisters,Winter,Yes,420,-,105,84,5,3,-,Trendy,-,gray,orange,historical,Unisex,V-Striped,,-,-,じみなたてじまのふくL,jersey rayas oro,jersey rayas oro,pull rayures jaune,pull rayures jaune,Rudererpulli,maglia barre gialla,차분한 줄무늬 옷 L,1.0,25D7,2624,365D,tops_stripe_quiet,Yes,,,-,,,-
205,gold-bar tee,,T-Shirt,Able Sisters,Winter,Yes,360,-,90,72,4,3,-,Trendy,-,gray,orange,historical,Unisex,V-Striped,,-,-,じみなたてじまのふく,camiseta rayas oro,camiseta rayas oro,t-shirt ray. jaune,t-shirt ray. jaune,Ruderershirt,maglietta barre gia.,차분한 줄무늬 옷,1.0,24A2,24EF,3528,tops_stripe_quiet,Yes,,,-,,,-
206,good-fortune clothes,,T-Shirt,Able Sisters,-,Yes,640,-,160,128,8,3,-,Harmonious,-,red,red,rock 'n' roll,Unisex,-,,-,-,だいきちのふく,camiseta afortunada,camiseta afortunada,tenue porte-bonheur,tenue porte-bonheur,Glücks-Outfit,maglietta fortunata,행운을 부르는 옷,1.4,-,2666,369F,tops_daikichi,Yes,,,-,,,good-fortune clothes
207,Gracie tank,,Tank Top,GracieGrace,Summer,No,"6,200",-,"1,550",-,77,251,-,Trendy,-,blue,colorful,modern,Unisex,Nature,,-,-,グレースのふく,top Graciela,top Graciela,débardeur Carla,débardeur Carla,Graziatop,canotta di Griffa,그레이스 옷,1.0,24DB,2528,3561,tops_grace,Yes,,,-,,,Gracie tank
208,grape tank,,Tank Top,Able Sisters,Spring,Yes,280,-,70,56,3,3,grape,Rustic,-,purple,green,cute,Unisex,Fruit,,-,-,ぶどうのふくN,top uvas,top uvas,débardeur raisin,débardeur raisin,Traubentop,canotta uva,포도 옷 N,1.0,25E4,2631,366A,tops_frt_grape,Yes,,,-,,,-
209,grape tee,,T-Shirt,Able Sisters,Spring,Yes,640,-,160,128,8,3,grape,Rustic,-,purple,green,cute,Unisex,Fruit,,-,-,ぶどうのふく,camiseta uvas,camiseta uvas,t-shirt raisin,t-shirt raisin,Traubenshirt,maglietta uva,포도 옷,1.0,24FE,254B,3584,tops_frt_grape,Yes,,,-,,,-
210,grape-stripe shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,purple,purple,modern,Unisex,H-Striped,,-,-,むらさきボーダーなふくL,jersey toldo lila,jersey toldo lila,pull raies mauve,pull raies mauve,Lutscherpulli,maglia bande viola,보라 줄무늬 옷 L,1.0,25CB,2618,3651,tops_border_ppl,Yes,,,-,,,grape-stripe shirt
211,grape-stripe tee,,T-Shirt,Able Sisters,-,Yes,320,-,80,64,4,3,-,-,-,purple,purple,modern,Unisex,H-Striped,,-,-,むらさきボーダーのふく,camiseta toldo lila,camiseta toldo lila,t-shirt raies mauve,t-shirt raies mauve,Lutschershirt,magliet. bande viola,보라 줄무늬 옷,1.0,2488,24D5,350E,tops_border_ppl,Yes,,,-,,,-
212,grass tee,,T-Shirt,Able Sisters,-,Yes,580,-,145,116,7,3,-,Rustic,-,green,green,basic,Unisex,Nature,,-,-,くさのふく,camiseta hierba,camiseta hierba,t-shirt herbe,t-shirt herbe,Rasenshirt,maglietta erbosa,풀무늬 옷,1.0,24D2,251F,3558,tops_grass_triangle,Yes,,,-,,,grass tee
213,gray parka,,Shirt,Able Sisters,Winter,Yes,400,-,100,80,5,3,-,-,-,gray,gray,basic,Unisex,-,,-,-,グレーのパーカー,sudadera gris,sudadera gris,sweat gris,sweat gris,Grauparka,felpa tuta grigia,회색 파카,1.0,2546,2593,35CC,tops_parka_gry,Yes,,,-,,,gray parka
214,gray tank,,Tank Top,Able Sisters,Summer,Yes,360,-,90,72,4,3,-,-,-,gray,gray,sporty,Unisex,-,,-,-,グレータンクトップ,top gris,top gris,débardeur gris,débardeur gris,Logo-Top,canotta palma,회색 탱크탑,1.0,2599,25E6,361F,tops_tanktop_gry,Yes,,,-,,,-
215,gray tartan shirt,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,gray,white,iconic,Unisex,Plaid,,-,-,グレータータンのふくL,jersey tartán gris,jersey tartán gris,pull tartan gris,pull tartan gris,Tartanpulli,maglia tartan nera,회색 타탄 옷 L,1.0,24B6,2503,353C,tops_tartan_gry,Yes,,,-,,,-
216,gray tartan tee,,T-Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,gray,white,iconic,Unisex,Plaid,,-,-,グレータータンのふく,camiseta tartán gris,camiseta tartán gris,t-shirt tartan gris,t-shirt tartan gris,Tartanshirt,magliet. tartan nera,회색 타탄 옷,1.0,24B5,2502,353B,tops_tartan_gry,Yes,,,-,,,gray tartan tee
217,green emblem blazer,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,green,green,official,Unisex,Manufactured,,-,-,みどりのブレザー,americana verde,americana verde,blazer emblème vert,blazer emblème vert,Grün-Blazer,giacca divisa verde,녹색 블레이저,1.0,2569,25B6,35EF,tops_blazer_grn,Yes,,,-,,,-
218,green gym tee,,T-Shirt,Able Sisters,Summer,Yes,420,-,105,84,5,3,-,-,-,white,green,sporty,Unisex,-,,-,-,みどりのたいそうふく,camiseta sport verde,camiseta sport verde,t-shirt sport vert,t-shirt sport vert,Sportshirt,maglietta tennis,녹색 체육복,1.0,2568,25B5,35EE,tops_gym_grn,Yes,,,-,,,-
219,green tie-dye tank,,Tank Top,Able Sisters,Summer,Yes,280,-,70,56,3,3,-,-,-,green,white,basic,Unisex,Nature,,-,-,メロンソーダなふくN,top hippy verde,top hippy verde,débardeur batik vert,débardeur batik vert,Festivaltop,canotta verde,멜론 소다 옷 N,1.0,25EC,2639,3672,tops_img_mlnsoda,Yes,,,-,,,-
220,green tie-dye tee,,T-Shirt,Able Sisters,-,Yes,380,-,95,76,4,3,-,-,-,green,white,basic,Unisex,Nature,,-,-,メロンソーダなふく,camiseta hippy verde,camiseta hippy verde,t-shirt batik vert,t-shirt batik vert,Festivalshirt,maglietta verde,멜론 소다 옷,1.0,247B,24C8,3501,tops_img_mlnsoda,Yes,,,-,,,green tie-dye tee
221,green warm-up jacket,,Shirt,Able Sisters,-,Yes,420,-,105,84,5,3,-,-,-,green,green,sporty,Unisex,-,,-,-,みどりのジャージ,sudadera sport verde,sudadera sport verde,veste survêt verte,veste survêt verte,Waldlaufjacke,maglia tuta verde,녹색 트레이닝복,1.0,2578,25C5,35FE,tops_jersey_grn,Yes,,,-,,,green warm-up jacket
222,green-bar shirt,,Shirt,Able Sisters,Fall,Yes,420,-,105,84,5,3,-,-,-,green,white,basic,Unisex,H-Striped,,-,-,みどりボーダーのふくL,jersey toldo verde,jersey toldo verde,pull raies vert,pull raies vert,Apfelpulli,maglia bande verdi,초록 줄무늬 옷 L,1.0,25D1,261E,3657,tops_border_grn,Yes,,,-,,,-
223,green-bar tee,,T-Shirt,Able Sisters,Summer,Yes,320,-,80,64,4,3,-,-,-,green,white,basic,Unisex,H-Striped,,-,-,みどりボーダーのふく,camiseta toldo verde,camiseta toldo verde,t-shirt raies vert,t-shirt raies vert,Apfelshirt,magliet. bande verdi,초록 줄무늬 옷,1.0,2486,24D3,350C,tops_border_grn,Yes,,,-,,,green-bar tee
